No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,PROMEDIO,1 MES,2 MESES
35.0,CRANBERRY X 100 VESA ,1.0,,,,,,,,,,,,1.0,-1.0,68.0,,2027-09-01,2.0,3.0,2025-03-01,,,,,0.0,0.0,0.0,0.0
36.0,CROMATONBIC FERRO CAJA X 10 AMP BEBIBLES,1.0,,,,,,,,,,,,1.0,7.0,142.0,,2028-12-01,1.0,2.0,2025-03-01,1.0,2.0,1.0,,4.0,1.0,4.0,8.0
37.0,CURITAS CAJA X 100 CUREFAST,1.0,,,,,,,,,,,,1.0,5.0,17.0,RABI,,3.0,,2024-05-01,1.0,1.0,1.0,,3.0,0.75,3.0,6.0
38.0,CYTOTTEC CAJA X 28 TAB BLIST X 14 TAB SUBLINGUAL,2.0,,,,,,,,,,,,2.0,4.0,350.0,,2026-03-01,0.0,,2024-10-01,1.0,,1.0,1.0,3.0,0.75,3.0,6.0
39.0,DAYAMINERAL FCO 240 ML,1.0,,,,,,,,,,,,1.0,7.0,110.0,,2028-10-01,0.0,,2024-11-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
40.0,DEKA C ADULTO CAJA X 3 AMPOLLAS ,6.0,,,,,,3.0,,,,,,3.0,11.0,29.0,,2028-10-01,8.0,,2025-01-01,1.0,1.0,2.0,3.0,7.0,1.75,7.0,14.0
41.0,DEKA C INFANTIL  CAJA X3 AMPOLLAS ,5.0,,,,,,,,,,2.0,,3.0,15.0,29.0,,2028-10-01,6.0,,2025-02-01,2.0,1.0,4.0,2.0,9.0,2.25,9.0,18.0
42.0,DEKA C JBE  ADULTO 240 ML,1.0,,,,,,,,,,,,1.0,7.0,20.0,,2025-12-01,3.0,,2024-12-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
43.0,DEKA C JBE NIÑO  240 ML,1.0,,,,,,,,,,,,1.0,7.0,20.0,,2026-12-01,1.0,,2024-12-01,1.0,1.0,,2.0,4.0,1.0,4.0,8.0
44.0,DENGUINITA NIÑOS CAJA X 100 BLIST X 10,131.0,,,,,,,,,,,,131.0,-45.0,1.0,,2026-06-01,0.0,,2024-07-01,10.0,13.0,10.0,10.0,43.0,10.75,43.0,86.0
