No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
48,POSTAVIT 25 MG CJ X 25 TAB ,13.0,1.6,3.0,0.4666666666666666,20.8,39.0
49,PREGABALINA 75 MG CAJA X 100  BLIST X 10 CAPS,81.0,0.85,2.0,0.575,68.85,162.0
50,PROTECTOR LABIAL JALOMA BOTE CON 60 ,27.0,2.161,4.0,0.45975,58.347,108.0
51,RHELAX FLEB  POMADA 60 GRS,2.0,15.45,27.0,0.4277777777777778,30.9,54.0
52,SECNIDAZOL 500 MG 12 BLIST X 4 CAJA X 48,13.0,4.17,10.0,0.583,54.21,130.0
53,SUCRALFATO QADIRA  200 ML  SUSP,4.0,31.95,52.0,0.3855769230769231,127.8,208.0
54,SUERO EN POLVO NARANJA 1 LT PROMEGAL X 25,23.0,2.016,4.0,0.496,46.368,92.0
55,TRINOGEL FRAMBUESA SUSP 360 ML ,0.0,19.45,30.0,0.3516666666666667,0.0,0.0
56,TYLENOL ROJO EXTRA F CJ X 20 TAB 10 SOB,9.0,2.78,5.0,0.44400000000000006,25.02,45.0
57,UNICIL 1.2 MEGAS (UNIPHARM),0.0,20.95,37.0,0.4337837837837838,0.0,0.0
58,UNICIL 4 MEGAS (UNHIPHARM),2.0,18.95,40.0,0.52625,37.9,80.0
59,VISINA ESTERI J&J GOTAS 15 ML (TETRIZOLIN),0.0,42.85,66.0,0.3507575757575757,0.0,0.0
60,VISTA CLARA 15 ML (ANTIALERGICO),6.0,22.65,40.0,0.43375,135.89999999999998,240.0
61,VITAMINA D 2000 BLIST X 15 CAJA X 30 H&V,2.0,15.77,27.0,0.4159259259259259,31.54,54.0
62,ZINC 30 MG CAJA X 30  BLIST X 10 CAPS (FORAL SALUD),4.0,5.48,10.0,0.45199999999999996,21.92,40.0
63,ZORRITONE CARAMELO BARRA CAJA X 12 JENGIBRE,13.0,2.995,5.0,0.40099999999999997,38.935,65.0
64,,,,,,0.0,0.0
65,,,,,,0.0,0.0
66,,,,,,,
67,,,,,,2867.875000000001,5322.855
68,,,,,,,
69,,,,,,2454.9799999999987,
70,,,,,,,
71,,,,,,0.46121489313535663,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
