No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,PROMEDIO,1 MES,2 MESES
16.0,AÑILINA TURQUESA ,1.0,,,,,,,,,,,,1.0,-1.0,1.5,,,,,2024-02-01,,,,,0.0,0.0,0.0,0.0
17.0,AÑILINA VERDE ,16.0,,,,,,,,,,,,16.0,-6.0,1.5,,,,,2024-02-01,4.0,1.0,,,5.0,1.25,5.0,10.0
18.0,AZUCAR DE ANIZ 1 ONZA,6.0,,,,,,,,,,,,6.0,8.0,3.5,,2026-08-01,,6.0,2024-12-01,3.0,1.0,2.0,1.0,7.0,1.75,7.0,14.0
19.0,AZUCAR DE LECHE 1 ONZ ,5.0,,,,,,,,,,,,5.0,5.0,8.0,,2026-01-01,,,2024-03-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
20.0,AZUFRE SUBLIMADO POLVO 1 ONZ,1.0,,,,,,,,,,,,1.0,7.0,4.0,,2025-08-01,,,2022-12-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
21.0,BICARBONATO DE SODIO LIBRA,0.0,,,,,,,,,,,,0.0,20.0,16.0,,2026-11-01,24.0,24.0,2025-03-01,4.0,2.0,1.0,3.0,10.0,2.5,10.0,20.0
22.0,BORAX 1 ONZ,6.0,,,,,,,,,,,,6.0,8.0,4.0,,2026-09-01,4.0,4.0,2024-12-01,1.0,4.0,1.0,1.0,7.0,1.75,7.0,14.0
23.0,COLOR VEGETAL AMARILLO CARTON X 24,16.0,,,,,,,,,,,,16.0,4.0,1.5,,2026-08-01,,,2024-09-01,,7.0,3.0,,10.0,2.5,10.0,20.0
24.0,COLOR VEGETAL ANARANJADO,25.0,,,,,,,,,,,,25.0,-25.0,1.5,,,,,2023-10-01,,,,,0.0,0.0,0.0,0.0
25.0,COLOR VEGETAL AZUL,22.0,,,,,,,,,,1.0,,21.0,-17.0,1.5,,2026-06-01,,,2024-09-01,,1.0,1.0,,2.0,0.5,2.0,4.0
26.0,COLOR VEGETAL CAFÉ,1.0,,,,,,,,,,,,1.0,-1.0,1.5,,,,,2023-10-01,,,,,0.0,0.0,0.0,0.0
27.0,COLOR VEGETAL CELESTE,13.0,,,,,,,,,,,,13.0,-13.0,1.5,,,,,2023-10-01,,,,,0.0,0.0,0.0,0.0
28.0,COLOR VEGETAL CORINTO,19.0,,,,,,,,,,,,19.0,-19.0,1.5,,,,,2023-10-01,,,,,0.0,0.0,0.0,0.0
29.0,COLOR VEGETAL FUSIA,2.0,,,,,,,,,,,,2.0,-2.0,1.5,,,,,2023-10-01,,,,,0.0,0.0,0.0,0.0
30.0,COLOR VEGETAL MORADO,15.0,,,,,,,,,,,,15.0,-9.0,1.5,,,,,2023-10-01,,,3.0,,3.0,0.75,3.0,6.0
31.0,COLOR VEGETAL NEGRO,19.0,,,,,,,,,,,,19.0,-19.0,1.5,,,,,2023-10-01,,,,,0.0,0.0,0.0,0.0
32.0,COLOR VEGETAL ROJO,5.0,,,,,,,,,,1.0,,4.0,34.0,1.5,,2026-07-01,,,2024-09-01,10.0,2.0,7.0,,19.0,4.75,19.0,38.0
33.0,COLOR VEGETAL ROSADO,13.0,,,,,,,,,,,,13.0,-11.0,1.5,,,,,2023-10-01,,,1.0,,1.0,0.25,1.0,2.0
34.0,COLOR VEGETAL TURQUESA,4.0,,,,,,,,,,,,4.0,-2.0,1.5,,,,,2023-10-01,,1.0,,,1.0,0.25,1.0,2.0
35.0,COLOR VEGETAL VERDE,23.0,,,,,,,,,,,,23.0,-19.0,1.5,,2026-06-01,,,2024-09-01,1.0,,1.0,,2.0,0.5,2.0,4.0
36.0,CREOLINA COMERCIAL 120 ML,2.0,,,,,,,,,,,,2.0,6.0,14.0,,2026-10-01,2.0,,2024-10-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
37.0,CREOLINA COMERCIAL 240 ML,1.0,,,,,,,,,,,,1.0,7.0,20.0,,2026-08-01,3.0,,2024-09-01,2.0,1.0,1.0,,4.0,1.0,4.0,8.0
38.0,CREOLINA COMERCIAL 500 ML,2.0,,,,,,,,,,,,2.0,0.0,25.0,,2026-08-01,0.0,,2024-08-01,,1.0,,,1.0,0.25,1.0,2.0
39.0,ENVASES DE PLASTICO 120ML ,3.0,,,,,,,,,,,,3.0,-3.0,3.0,,,9.0,,2024-04-01,,,,,0.0,0.0,0.0,0.0
40.0,ESENCIA DE CLAVO  30 ML,2.0,,,,,,,,,,,,2.0,-2.0,40.0,,2025-11-01,,,2024-01-01,,,,,0.0,0.0,0.0,0.0
41.0,GLICERINA 22 ML ,0.0,,,,,,,,,,,,0.0,10.0,8.0,,2026-10-01,0.0,,2024-10-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0
42.0,GLICERINA LIQUIDA 38 ML,3.0,,,,,,,,,,1.0,,2.0,8.0,15.0,,2026-10-01,4.0,6.0,2025-03-01,1.0,1.0,1.0,2.0,5.0,1.25,5.0,10.0
43.0,MERCURIO CROMO 30 ML,3.0,,,,,,,,,,,,3.0,5.0,14.0,,2026-11-01,3.0,3.0,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
44.0,MERCURIO CROMO 2% SPRAY 120 ML,2.0,,,,,,,,,,,,2.0,6.0,17.0,,2026-10-01,3.0,4.0,2024-12-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
45.0,NEFTALINA  BOLSA X 5 UNIDADES,9.0,3.0,,,,,,,,,,,6.0,6.0,4.0,,2026-08-01,0.0,,2024-09-01,2.0,1.0,1.0,2.0,6.0,1.5,6.0,12.0
46.0,POMADA DE SULFATIAZOL 1 ONZA ,4.0,,,,,,,,,,,,4.0,8.0,10.0,,2026-10-01,2.0,6.0,2025-03-01,3.0,1.0,1.0,1.0,6.0,1.5,6.0,12.0
47.0,RUIBARBO TINTURA 30 ML,2.0,,,,,,,,,,,,2.0,6.0,9.0,,2025-11-01,,,2024-02-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
48.0,SIETE ESPIRITUS 30 ML ,2.0,,,,,,,,,,,,2.0,2.0,10.0,,2026-12-01,,3.0,2025-01-01,,1.0,1.0,,2.0,0.5,2.0,4.0
49.0,SODA CAUSTICA EN ESCAMAS LIBRA,2.0,,,,,,,,,,,,2.0,8.0,24.0,,2026-04-01,3.0,,2024-08-01,1.0,1.0,1.0,2.0,5.0,1.25,5.0,10.0
50.0,SOLUCION DE IBITANE AL 5% FCO  120 ML,5.0,,,,,,,,,,,,5.0,5.0,10.0,,2026-10-01,2.0,,2025-02-01,1.0,1.0,1.0,2.0,5.0,1.25,5.0,10.0
51.0,THIMEROSAL 120 ML SPRAY,2.0,,,,,,,,,,,,2.0,0.0,18.0,,2026-05-01,2.0,,2024-11-01,1.0,,,,1.0,0.25,1.0,2.0
52.0,THIMEROSAL 30 ML,2.0,,,,,,,,,,,,2.0,6.0,14.0,,2026-08-01,3.0,3.0,2025-02-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
53.0,VASELINA BLANCA 1 ONZA,0.0,,,,,,,,,,,,0.0,16.0,7.0,,,,,2023-02-01,1.0,2.0,1.0,4.0,8.0,2.0,8.0,16.0
54.0,VASELINA BLANCA 58 GRS,2.0,,,,,,,,,,,,2.0,6.0,13.0,,2027-02-01,2.0,4.0,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
55.0,VIOLETA DE GENCIANA SOLUCION 2% 30 ML,2.0,,,,,,,,,,,,2.0,8.0,10.0,,2026-07-01,,,2024-09-01,1.0,1.0,1.0,2.0,5.0,1.25,5.0,10.0
56.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
57.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
