No,ARTICULO   ,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,PROMEDIO,1 MES,2 MESES
69.0,SOLUCION SALINA 100 ML BOLSA,6.0,,,,,3.0,,,,,,,3.0,10.0,14.0,,2027-10-01,15.0,15.0,2025-03-01,4.0,7.0,3.0,5.0,19.0,4.75,19.0,38.0
70.0,SPASMO-UROLONG BLIST X 10TAB,27.0,,,,,,,,,,,,27.0,19.0,6.8,,2025-08-01,0.0,2.0,2025-03-01,3.0,10.0,4.0,6.0,23.0,5.75,23.0,46.0
71.0,SUERO ORAL ANCALMO COCO X 54,41.0,,,,,,,,,,2.0,,39.0,21.0,2.0,,2025-10-01,0.0,,2025-01-01,13.0,4.0,10.0,3.0,30.0,7.5,30.0,60.0
72.0,SUERO ORAL ANCALMO NARANJA X 54,35.0,,,,,,,,,,,,35.0,5.0,2.0,OLAM ,2025-07-01,1.0,,2024-07-01,2.0,7.0,2.0,9.0,20.0,5.0,20.0,40.0
73.0,SUERO ORAL VIT ANCALMO X 54,30.0,,6.0,,,,,,,,18.0,,6.0,26.0,2.0,OLAM ,2027-09-01,0.0,,2024-11-01,1.0,2.0,5.0,8.0,16.0,4.0,16.0,32.0
74.0,TERMOMETRO DIGITAL MICROLIFE,1.0,,,1.0,,,,,,,,,0.0,1.0,55.0,,,0.0,,2024-06-01,,,1.0,,1.0,0.25,1.0,2.0
75.0,VIROGRIP 3 DOBLE TERAPIA INYECTADO,2.0,,,,,,,,,,,,2.0,6.0,29.0,,2026-10-01,10.0,,2024-12-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
76.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
