No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,PROMEDIO,1 MES,2 MESES,2 MESES.1
28,ESOMEPRAZOL 40 MG IV AMPOLLA LOTUS BALAXI,4.0,,,,,,,,,,,,4.0,14.0,30.0,,2025-10-01,6.0,,2024-09-01,1.0,6.0,1.0,1.0,9.0,2.25,9.0,18.0,
29,FERULA TIPO BASBALL TALLA M,1.0,,,,,,,,,,,,1.0,9.0,32.0,,,4.0,,2024-12-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0,
30,FERULA TIPO RANITA TALLA M,1.0,,,,,,,,,,,,1.0,7.0,32.0,,,4.0,3.0,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0,
31,FUROSEMIDA 10 MG ML AMP BALAXI,4.0,,,,,,,,,,,,4.0,4.0,4.0,,2025-12-01,0.0,,2023-11-01,,,,4.0,4.0,1.0,4.0,8.0,
32,GLIMEPIRIDA 4 MG BLISTER X 10 WASHINGTON,14.0,,,,,,,,,,,,14.0,-6.0,7.0,ROSADEL,2027-05-01,1.0,,2025-02-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0,
33,GLORANTA JENGIBRE- MENTA CAJA X 25 SOB X 4,38.0,,2.0,,,,1.0,,,,1.0,,34.0,-18.0,12.0,,2025-12-01,0.0,,2024-10-01,2.0,2.0,3.0,1.0,8.0,2.0,8.0,16.0,
34,GLORANTA MIEL MENTA  CAJA X 25 SOB X 4,21.0,,,,,,,,,,3.0,,18.0,-4.0,12.0,,2026-06-01,0.0,,2024-12-01,1.0,1.0,2.0,3.0,7.0,1.75,7.0,14.0,
35,JERINGA 20 CC X 21 X 1 1/2,0.0,,,,,,,,,,,,0.0,10.0,3.0,,2028-05-01,0.0,,2023-06-01,1.0,1.0,2.0,1.0,5.0,1.25,5.0,10.0,
36,JERINGA 60 ML SIN AGUJA  ALFA,0.0,,,,,,,,,,,,0.0,12.0,6.0,,,0.0,,2024-07-01,1.0,,4.0,1.0,6.0,1.5,6.0,12.0,
37,KURAX (LEVAMISOL HCI) ,0.0,,,,,,,,,,,,0.0,0.0,21.0,,,,,,,,,,0.0,0.0,0.0,0.0,
38,LIDOCAINA 2 % C/PRESERVANTE VIAL 50 ML LOTUS,1.0,,,,,,,,,,,,1.0,3.0,18.0,,2025-10-01,0.0,,2024-12-01,,,1.0,1.0,2.0,0.5,2.0,4.0,
