No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
60,CLO-PRIM 10MG BLIST X 10 CAJA X 40 TABS,30.0,1.78,3.0,0.4066666666666667,53.4,90.0
61,CLOPRIM 5MG/5ML JARABE 120 ML,1.0,50.1,77.0,0.34935064935064936,50.1,77.0
62,CLOPRIM CAJA X 3 AMPOLLAS,3.0,11.37,19.0,0.4015789473684211,34.11,57.0
63,CODERPINA JBE 60 ML,1.0,26.03,41.0,0.3651219512195122,26.03,41.0
64,CUAJO CAJA X 100 BLISTER X 10,74.0,1.03,1.8,0.42777777777777776,76.22,133.20000000000002
65,CURADERMA LATITA,2.0,11.96,18.0,0.3355555555555555,23.92,36.0
66,CURITA REDONDA  CUREBAND CAJA X 100,34.0,0.11,0.25,0.56,3.74,8.5
67,CURITAS CUREBAND CAJA X 100 + 10,127.0,0.1,0.25,0.6,12.700000000000001,31.75
68,DAPAZ (AMITRIP + CLORDIA)  CAJA X 30 BLIST X 10,33.0,1.66,2.7,0.38518518518518524,54.779999999999994,89.10000000000001
69,DEXAMICINA GOTASX 5 ML QUALIPHARM,1.0,45.5,69.0,0.34057971014492755,45.5,69.0
70,DEXTROVITA AL 10% 1/2 LITRO,1.0,26.09,40.0,0.34775,26.09,40.0
71,DEXTROVITA AL 5% 1 LITRO ,1.0,37.86,61.0,0.379344262295082,37.86,61.0
72,DEXTROVITA AL 5% 1/2 LITRO,1.0,27.28,42.0,0.35047619047619044,27.28,42.0
73,DIYODO 650  BLIST X 10TAB,33.0,0.61,1.0,0.39,20.13,33.0
74,DOLOFIN DISP X 60,0.0,0.0,0.0,,0.0,0.0
75,DOLOVITANERVO KIT AMPOLLA,4.0,9.55,19.0,0.4973684210526315,38.2,76.0
76,DORIVAL GEL 200MG CAJA X 36 GELCAPS,26.0,2.55,4.0,0.36250000000000004,66.3,104.0
77,ENTEROGUANIL ADULTO DIS X 200 BLIST X 4 TABS ,200.0,0.31,1.0,0.69,62.0,200.0
78,ENTEROGUANIL NIÑO DIS X 200 BLIST X 4 TABS ,0.0,0.21,0.5,0.5800000000000001,0.0,0.0
79,ESCABIN JABON DE AZUFRE 80 GRS SANTE,2.0,5.15,9.0,0.42777777777777776,10.3,18.0
80,ESENCIA MARAVILLOSA SIERRA FCO,3.0,11.0,18.0,0.3888888888888889,33.0,54.0
81,FERRIDOCE CAJA X 30TAB BLIST X 10,6.0,9.3,14.0,0.3357142857142857,55.800000000000004,84.0
82,GASA ENFERMERITA  1/2 X 1 YD.,5.0,3.48,7.0,0.5028571428571429,17.4,35.0
83,GASA ENFERMERITA 3 X 1,3.0,17.5,29.0,0.39655172413793105,52.5,87.0
84,GASA SUPERIOR  3 X 10 YD,2.0,7.0,12.0,0.4166666666666667,14.0,24.0
85,GASA SUPERIOR  4 X 10,2.0,8.0,13.0,0.38461538461538464,16.0,26.0
86,GASA SUPERIOR 2 X 10 YD,0.0,4.9,9.0,0.4555555555555555,0.0,0.0
87,GASA SUPERIOR 6 X 10 YDS,2.0,13.25,22.0,0.3977272727272727,26.5,44.0
88,GINGIVEX PINCELADAS FCO. 27 ML,3.0,12.35,20.0,0.3825,37.05,60.0
89,GLORANTA TE FRUTOS ROJOS CAJA X 25 SOBRES,5.0,6.32,10.0,0.368,31.6,50.0
90,GLORANTA TE LIMON/JENGIBRE CAJA X 25 SOBRES,2.0,6.32,10.0,0.368,12.64,20.0
91,HARTMANN (1000) 1 LITRO,0.0,15.17,25.0,0.3932,0.0,0.0
92,JERINGA 5 CC 21  1 1/2 ,15.0,0.58,1.0,0.42000000000000004,8.7,15.0
93,JERINGA 5 CC 23 X 1 1/2,75.0,0.37,1.0,0.63,27.75,75.0
94,JERINGA 5 CC 23 X 1 1/4,3.0,0.35,1.0,0.65,1.0499999999999998,3.0
95,KOLIT BLISTER X 5 TAB,8.0,2.05,3.5,0.4142857142857143,16.4,28.0
96,KURA KURA LATA 13 GRS,2.0,10.94,18.0,0.39222222222222225,21.88,36.0
97,LASSAR CREMA LAFCO 120 GRS,2.0,14.75,25.0,0.41,29.5,50.0
98,LEVADURA SANTE FRASCO X100TAB,1.0,10.11,16.0,0.36812500000000004,10.11,16.0
99,LICOPODIO BOLSA X 32 SOBRES DISFAVIL,1.0,2.77,5.0,0.446,2.77,5.0
100,MAGNESIA DE SALUD THERFAM DISPEN X 72 SOB,68.0,1.11,2.0,0.44499999999999995,75.48,136.0
101,MANA SOBRE (LAXANTE) 1 ONZ,9.0,5.48,10.0,0.45199999999999996,49.32000000000001,90.0
102,MANTECA DE CACAO,88.0,1.54,2.5,0.384,135.52,220.0
103,MENTOL DAVIS GRANDE 12 GRS,2.0,6.0,10.0,0.4,12.0,20.0
104,MEPROGESICO II  BLISTER X 10,14.0,3.66,6.0,0.38999999999999996,51.24,84.0
105,NAUSEOL 1 ML X 1 AMPOLLA,6.0,5.46,10.0,0.454,32.76,60.0
106,NAUSEOL INFANTIL SUPOSITORIOS X 6 BONIN,6.0,4.38,8.0,0.4525,26.28,48.0
107,NAUSEOL SUSP JBE FCO 60 ML,2.0,45.94,72.0,0.36194444444444446,91.88,144.0
108,NEO GRIPINA 500 MG INYECTADO,0.0,4.75,8.0,0.40625,0.0,0.0
109,NEOFEBRINA JARABE 100 ML ,1.0,21.42,34.0,0.36999999999999994,21.42,34.0
110,NEOFEBRINA SUPOSITORIO NIÑOS 300 MGS CAJA X 5,5.0,7.28,12.0,0.3933333333333333,36.4,60.0
111,NEOMELUBRINA CAJA X 5 SUPOSITORIOS,5.0,7.2,11.0,0.34545454545454546,36.0,55.0
112,NEOMELUBRINA JBE 100 ML ,2.0,52.5,79.0,0.33544303797468356,105.0,158.0
113,NERVADEN CAJA X 30 BLIST X 10 CAPS,33.0,2.73,4.4,0.3795454545454546,90.09,145.20000000000002
114,NERVIFEN BLIST X 10 CAJA X 30 PHENIEL,26.0,0.77,1.2,0.3583333333333333,20.02,31.2
