No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,  ,1 MES,2 MESES
128,POMADA GMS 12 GRS,3.0,,,,,,1.0,,,,,,2.0,6.0,14.0,,2027-10-01,3.0,,2025-02-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
129,POMADA GMS TARRO 50 GRS,1.0,,,,,,,,,,,,1.0,1.0,49.0,,2026-07-01,0.0,,2023-11-01,,,,1.0,1.0,0.25,1.0,2.0
130,RELAFLEX KIT AMPOLLA VIJOSA,0.0,,,,,,,,,,,,0.0,0.0,45.0,GENESIS,,0.0,,,,,,,0.0,0.0,0.0,0.0
131,REUMETAN CREMA 30 GRS. TUBO ,1.0,,,,,,,,,,,,1.0,7.0,30.0,,2026-10-01,1.0,,2025-02-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
132,REUMETAN S 25 MG BLIST X 10 CAJA X 100,10.0,,,,,1.0,,,,,,,9.0,9.0,8.0,,2028-01-01,0.0,1.0,2025-03-01,1.0,4.0,2.0,2.0,9.0,2.25,9.0,18.0
133,ROWACHOL BLISTER X 10 CAJA X 50 GEL CPAS,16.0,,,,,,,,,,,,16.0,0.0,6.0,,2026-06-01,0.0,,2022-09-01,,,4.0,4.0,8.0,2.0,8.0,16.0
134,ROWATINEX PERLAS AMARILLAS BLI X 10,50.0,,,,,,,,,,,,50.0,-8.0,7.5,,2026-06-01,0.0,,2025-01-01,5.0,2.0,10.0,4.0,21.0,5.25,21.0,42.0
135,SCUDO NATURAL CAJA X 3 ,2.0,,,,,,,1.0,,,,,1.0,7.0,14.0,,2029-01-01,0.0,,2025-02-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
136,SCUDO ORO ESTRIADO CAJA X 3,0.0,,,,,,,,,,,,0.0,0.0,24.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0
137,SCUDO ORO RETARDANTE CAJA X 3,2.0,,,,,,,,,,,,2.0,6.0,24.0,,2029-01-01,0.0,,2024-06-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
138,SINSUEÑO BLIST X 10 ,114.0,,10.0,,,,,10.0,,,,,94.0,108.0,1.0,,2029-04-01,0.0,10.0,2025-03-01,30.0,16.0,52.0,3.0,101.0,25.25,101.0,202.0
139,SOLUCION SALINA ISOTONICA LITRO,1.0,,,,,,,,,,,,1.0,7.0,22.0,,2028-12-01,0.0,,2025-02-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
140,SOLUCION SALINA PARA NEBULIZAR 250 ML,2.0,,,,,,,,,,,,2.0,8.0,16.0,,2028-12-01,2.0,,2025-02-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
141,SOLUTINA GOTAS OFTALMICAS,0.0,,,,,,,,,,,,0.0,0.0,26.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0
142,SUDAGRIP CAJA X 12 CAPSULAS,0.0,,,,,,,,,,,,0.0,38.0,2.5,,2027-04-01,0.0,,2023-08-01,10.0,4.0,4.0,1.0,19.0,4.75,19.0,38.0
143,SUERO MIXTO 5% FCO 500 ML,1.0,,,,,,,,,,,,1.0,-1.0,19.0,,2026-06-01,0.0,,2024-09-01,,,,,0.0,0.0,0.0,0.0
144,TABCIN AD FM EF DISPEN X 72 SOBRES(CELESTE),41.0,,,,,,,,,,,,41.0,11.0,2.5,BAYER,2025-11-01,0.0,,2024-11-01,4.0,3.0,4.0,15.0,26.0,6.5,26.0,52.0
145,TABCIN EXTRA FUERTE X 60 EFERV (ROJO),65.0,,,,,,,,2.0,,,,63.0,-43.0,2.5,BAYER,2026-05-01,0.0,,2025-01-01,4.0,2.0,2.0,2.0,10.0,2.5,10.0,20.0
146,TABCIN FLEMA Y CONGESTION CAJA X 30,42.0,,,,,,,,,,,,42.0,-30.0,5.0,BAYER,2025-09-01,0.0,,2024-09-01,1.0,1.0,1.0,3.0,6.0,1.5,6.0,12.0
147,TABCIN GRIPE Y TOS LIQUID GEL X 30,50.0,,,,3.0,,,,,,,,47.0,3.0,5.0,BAYER,2025-10-01,1.0,,2025-02-01,4.0,4.0,12.0,5.0,25.0,6.25,25.0,50.0
148,TABCIN GRIPE Y TOS X 60 TABS EFERV (MORADO),37.0,,,,,,,,2.0,,2.0,,33.0,1.0,2.5,BAYER,2025-12-01,0.0,,2025-01-01,2.0,4.0,6.0,5.0,17.0,4.25,17.0,34.0
149,TABCIN LIQUID GEL DIA X 30,33.0,,,,2.0,,,,4.0,,,,27.0,13.0,5.0,BAYER,2025-11-01,2.0,,2024-12-01,7.0,2.0,5.0,6.0,20.0,5.0,20.0,40.0
150,TABCIN LIQUID GEL NOCHE X 30,45.0,,,,,,2.0,,2.0,,,,41.0,-5.0,5.0,BAYER,2025-10-01,3.0,,2025-02-01,7.0,5.0,3.0,3.0,18.0,4.5,18.0,36.0
151,TABCIN NIÑOS DISP X 48 BLIST X 12 MASTIC,35.0,,,,,,,,,,,,35.0,-5.0,1.5,BAYER,2025-07-01,0.0,,2024-02-01,2.0,4.0,3.0,6.0,15.0,3.75,15.0,30.0
152,TABCIN NIÑOS X 60 EFERV,56.0,,,,,,,,,,,,56.0,-38.0,2.0,BAYER,2025-11-01,0.0,,2025-02-01,1.0,4.0,2.0,2.0,9.0,2.25,9.0,18.0
153,TALCO DERMO-G11 300 GRS,2.0,,,,,,,,,,,,2.0,6.0,25.0,,2027-11-01,2.0,,2025-01-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
154,TALCO SUDORIN 110 GRS,1.0,,,,,,,,,,,,1.0,7.0,18.0,,2026-01-01,0.0,,2024-04-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
155,TENSIL 25 MG CAJA X 40 BLIST X 20,89.0,10.0,8.0,,5.0,1.0,,,,,3.0,,62.0,78.0,4.3,,2027-01-01,5.0,,2024-12-01,15.0,12.0,28.0,15.0,70.0,17.5,70.0,140.0
156,TERMOMETRO DE CINTA MEDITEM FRONT,2.0,,,,,,,,,,,,2.0,6.0,25.0,,2026-09-01,2.0,,2024-10-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
157,TIAMINA 100 MG FCO X 10  ML PIERSAN,0.0,,,,,,,,,,,,0.0,8.0,15.0,,2026-09-01,2.0,,2025-01-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
158,TINTURA DE YODO NEGRO 1 ONZ,2.0,,,,,,,,,,,,2.0,6.0,19.0,,2026-11-01,2.0,2.0,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
159,TIRA LECHE DE VIDRIO,1.0,,,,,,,,,,,,1.0,7.0,39.0,,,0.0,,2024-12-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
160,UNI-PULMIN ANTIGRIPAL CAJA X 25 SOBRES,0.0,,,,,,,,,,,,0.0,56.0,3.5,,,0.0,,2024-07-01,3.0,3.0,6.0,16.0,28.0,7.0,28.0,56.0
161,VICK TARRO 100 GRS,1.0,,,,,,,,,,,,1.0,5.0,68.0,,2026-09-01,0.0,,2025-01-01,1.0,1.0,,1.0,3.0,0.75,3.0,6.0
162,VICK TARRO 50 GRS,2.0,,,,,,,,,,,,2.0,6.0,38.0,,2026-02-01,1.0,,2024-12-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
163,VIRO GRIP GRIPE Y TOS JBE 120 ML,4.0,,,,,,,,,,,,4.0,10.0,35.0,,2027-12-01,12.0,15.0,2025-03-01,2.0,2.0,1.0,2.0,7.0,1.75,7.0,14.0
164,VITAFLENACO GEL TOPICA 20 G,1.0,,,,,,,,,,,,1.0,3.0,38.0,,2026-07-01,0.0,,2024-11-01,1.0,,,1.0,2.0,0.5,2.0,4.0
165,VITAL FUERTE 10 AMP BEB 10 ML,0.0,,,,,,,,,,,,0.0,0.0,,BENDICION,,0.0,,,,,,,0.0,0.0,0.0,0.0
166,"VITANERVO 25,000 KIT AMP PIERSAN ",2.0,,,,,,,,,,,,2.0,14.0,19.0,,2026-04-01,3.0,,2024-11-01,4.0,1.0,2.0,1.0,8.0,2.0,8.0,16.0
167,VITAPYRENA DISP X50,24.0,,,,1.0,,1.0,,,,2.0,,20.0,-4.0,3.5,,2026-01-01,0.0,,2024-08-01,1.0,1.0,2.0,4.0,8.0,2.0,8.0,16.0
168,VITAPYRENA FORTE DISP X50,28.0,,,,,,,,,,,,28.0,-10.0,6.0,,2025-12-01,0.0,,2024-07-01,6.0,1.0,1.0,1.0,9.0,2.25,9.0,18.0
169,XICONEURAL CAJA X 30 INDUCTOR DEL SUEÑO,28.0,,,,,,,,,4.0,,,24.0,4.0,2.5,,2026-09-01,0.0,,2025-01-01,4.0,4.0,2.0,4.0,14.0,3.5,14.0,28.0
170,XIRMEN 4 MG /2 ML X 1 AMP INYECT ,2.0,,,,,,,,,,,,2.0,2.0,48.0,,2028-04-01,1.0,,2025-01-01,,1.0,,1.0,2.0,0.5,2.0,4.0
171,ZORRITONE CARAMELO JENGIBRE POWER X 100,22.0,,,2.0,,,,,,,,,20.0,20.0,0.75,,2026-07-01,0.0,,2024-02-01,1.0,6.0,3.0,10.0,20.0,5.0,20.0,40.0
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
