No,ARTICULO TIENDA,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,PROMEDIO,1 MES,2 MESES
59,GOMITAS OSITOS ,3,,,,1.0,,,,,,,,2,8,5.0,SILOE,,5.0,,2023-03-01,1.0,2.0,1.0,1.0,5,1.25,5,10
60,GOMITAS TENYS,4,,,,,,,,,,,,4,4,5.0,SILOE,,3.0,,2024-07-01,1.0,1.0,1.0,1.0,4,1.0,4,8
61,GOMITAS UNICORNIO,4,,,,,,,,,,,,4,6,5.0,SILOE,,12.0,,2024-07-01,1.0,,3.0,1.0,5,1.25,5,10
62,GOTAS PAPILLON BOLSA X 11,2,,,,,,,,,,,,2,6,14.0,EL CISNE,,5.0,,2023-01-01,1.0,1.0,1.0,1.0,4,1.0,4,8
63,HALLS CAJA X 12 SABORES NEGRO ,4,,,,,,,,,,,,4,4,5.0,SILOE,,0.0,,2023-11-01,1.0,1.0,1.0,1.0,4,1.0,4,8
64,HALLS CAJA X 18 SABORES,9,,,,,,,,,,,,9,-1,4.0,SILOE,2025-06-01,25.0,,2023-11-01,1.0,1.0,1.0,1.0,4,1.0,4,8
65,HILO DENTAL ORAL B,1,,,,,,,,,1.0,,,0,8,25.0,PRICES,,6.0,,2024-05-01,1.0,1.0,1.0,1.0,4,1.0,4,8
66,HISOPOS X 100 ,8,,,,,,,,,,,,8,2,5.0,ESQUINITA,,20.0,20.0,2025-03-01,1.0,1.0,2.0,1.0,5,1.25,5,10
67,JABON DOVE 135 GRS,2,,,,,,,,,,,,2,6,15.0,ESQUINITA,,12.0,12.0,2025-03-01,1.0,1.0,1.0,1.0,4,1.0,4,8
68,LASAR MIMO TUBO 120 GRS,2,,,,,,,,,,,,2,6,25.0,ESQUINITA,2026-06-01,3.0,,2024-09-01,1.0,1.0,1.0,1.0,4,1.0,4,8
69,LIMA PARA UÑAS,13,,,,,,,,,,,,13,7,0.5,EL CISNE,,24.0,,2021-07-01,2.0,4.0,2.0,2.0,10,2.5,10,20
70,LIMONCHO 120 GRAMOS CAJA X 10 ,14,1.0,,,1.0,,,,1.0,,,,11,5,3.0,SILOE,2025-12-01,1.0,2.0,2025-03-01,1.0,3.0,3.0,1.0,8,2.0,8,16
71,LUCAS,17,,,,,,,,,,,,17,-3,5.0,SILOE,2025-04-01,27.0,,2023-11-01,1.0,2.0,2.0,2.0,7,1.75,7,14
72,MAMON LATEX UNIDAD,16,,,,,,,,,,,,16,4,2.0,ESQUINITA,,129.0,,2024-09-01,1.0,5.0,1.0,3.0,10,2.5,10,20
73,MAMON SILICON UNIDAD,22,,,,,,,,,,,,22,-6,2.0,ESQUINITA,,65.0,,2024-09-01,2.0,3.0,1.0,2.0,8,2.0,8,16
74,NUEZ DE NOGAL,4,,,1.0,,1.0,,,,,,,2,8,12.0,PRICES,,3.0,,2023-01-01,1.0,1.0,1.0,2.0,5,1.25,5,10
75,PACHA EVENFLO  Y BABY FARLIN 2 ONZ,1,,,,,,,,,,,,1,7,13.0,ESQUINITA,,4.0,,2020-05-01,1.0,1.0,1.0,1.0,4,1.0,4,8
76,PACHA EVENFLO 8 ONZ,2,,,,,,,,,,,,2,0,17.0,ESQUINITA,,0.0,,2025-01-01,,,,1.0,1,0.25,1,2
77,PACHA FIRTS ESSENTIAL 4 ONZ,2,,,,,,,,,,,,2,2,18.0,ESQUINITA,,4.0,,,,,1.0,1.0,2,0.5,2,4
78,PACHA FIRTS ESSENTIAL 5 ONZ,2,,,,,,,,,,,,2,2,16.0,ESQUINITA,,0.0,,,1.0,,,1.0,2,0.5,2,4
79,PACHA MUM LOVE 3 ONZ,1,,,,,,,,,,,,1,3,13.0,ESQUINITA,,1.0,,2021-07-01,1.0,,,1.0,2,0.5,2,4
80,PASTA DENTAL COLGATE  SENSITIVE 100 GR ORIG,1,,,,,,,,,,,,1,7,53.0,WILLY,2026-09-01,1.0,,2024-09-01,1.0,1.0,1.0,1.0,4,1.0,4,8
