No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1,ACEITE DE RECINO 1 ONZ LASANA,5.0,6.85,12.0,0.4291666666666667,34.25,60.0
2,ACETAMINOFEN  500 MG BLISTR X 10 CAJA X 100,56.0,1.418,2.5,0.4328,79.408,140.0
3,ACICLOVIR 400 MG/5ML  FCO 100 ML CAPLIN,1.0,19.95,38.0,0.47500000000000003,19.95,38.0
4,ACIDO ACETILSALICILICO 100 MG BLISTER X 10 CAJA X 100,5.0,0.8,2.5,0.6799999999999999,4.0,12.5
5,ACIDO BORICO POLVO 1 ONZ BOLSA X 8,11.0,1.65,5.0,0.67,18.15,55.0
6,ALBENDAZOL 400 MG SUSP FCO X 10 ML CAPLIN,4.0,3.25,7.0,0.5357142857142857,13.0,28.0
7,ALBENDAZOL CAJA X 2 TAB CAPLIN Y ARGUS,9.0,1.2,5.0,0.76,10.799999999999999,45.0
8,ALCOHOL  ELITICO70% 1/2 LITRO VESA,2.0,9.9,17.0,0.41764705882352937,19.8,34.0
9,ALCOHOL ALCANFORADO 120 ML SANTE,3.0,4.55,8.0,0.43125,13.649999999999999,24.0
10,ALOPURINOL 300 MG BLISTER X 10 CAJA X 100,34.0,3.0,5.0,0.4,102.0,170.0
11,AMLODIPINA 10 MG BLISTER X 10 CAJA X 100,23.0,2.23,5.0,0.554,51.29,115.0
12,AMLODIPINA 5 MG BLISTER X 10 CAJA X 100,23.0,1.62,4.0,0.595,37.260000000000005,92.0
13,AMOXI+CLAV 400+57MG BID 70 ML (LEVECILIN) ,1.0,51.95,85.0,0.3888235294117647,51.95,85.0
14,AMOXICILINA 500 MG BLIST X 10 CAJA X 100 (ARGUS O CAPLIN),23.0,2.895,6.0,0.5175,66.585,138.0
15,AMPICILINA 500 MG BLISTER X 10 CAJA X  100,0.0,4.63,10.0,0.537,0.0,0.0
16,ANTIGRIPITO INFANIL JBE 60 ML,1.0,16.6,29.0,0.4275862068965517,16.6,29.0
17,ATENOLOL 100 MG BLIST X 10 CAJA X 100ARGUS,12.0,1.7,5.0,0.6599999999999999,20.4,60.0
18,ATENOLOL 100 MG CAPLIN BLIST X 10 CAJA X 100,0.0,29.95,50.0,0.401,0.0,0.0
19,AZITROMICINA 200 MGS FCO X 30 ML CAPLIN,3.0,12.0,23.0,0.4782608695652174,36.0,69.0
20,AZITROMICINA 200 MGS SUSP FCO X 15 ML SELEC,3.0,14.65,25.0,0.414,43.95,75.0
