No,ARTICULO,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,PROMEDIO,1 MES,2 MESES
81.0,GLUXICAM SOBRE CAJA X 14 (MELOXICAM + GLUCOS),14.0,,,,,,,,,,,,14,16,9.0,,2026-04-01,1.0,,2025-02-01,2.0,2.0,8.0,3.0,15,3.75,15,30
82.0,GRIIN VITAMIN LIQUIPACK SOBRE CAJA X 12 ,1.0,,,,,,,,,,,,1,7,75.0,,2026-02-01,2.0,2.0,2025-03-01,1.0,1.0,1.0,1.0,4,1.0,4,8
83.0,GUAYATOS FCO X 120 ML ,4.0,,,,,,,,,,,,4,26,13.0,,2028-05-01,17.0,16.0,2025-03-01,5.0,3.0,3.0,4.0,15,3.75,15,30
84.0,HIDROCLOROTIAZIDA 50 MG BLIST X 10 CAJA X 100 CAPLIN ,13.0,1.0,,,,,,,,,,,12,4,5.0,,2027-04-01,0.0,,2025-01-01,2.0,1.0,4.0,1.0,8,2.0,8,16
85.0,IBUPROFEN 400 MGS BLISTER X 10  CAJA X 100 ARGUS ,14.0,,,,,,,1.0,,,,,13,1,4.0,,2027-07-01,0.0,,2025-02-01,2.0,2.0,2.0,1.0,7,1.75,7,14
86.0,IBUPROFEN 600 MGS BLISTER X 10 CAJA X 100  ARGUS,20.0,,1.0,,,,,1.0,,,1.0,,17,39,5.0,,2026-12-01,3.0,2.0,2025-03-01,10.0,5.0,10.0,3.0,28,7.0,28,56
87.0,IBUPROFEN 800 MGS BLISTER X 10 CAJA X 100 ARGUS,24.0,,1.0,,,1.0,2.0,,,,,,20,34,7.0,,2026-10-01,5.0,4.0,2025-03-01,7.0,7.0,9.0,4.0,27,6.75,27,54
88.0,IBUWIN 400 GEL CAPS BLIST X 10  CAJA X 50,83.0,,,,,,10.0,,,,,,73,7,1.0,,2026-12-01,1.0,,2025-02-01,10.0,10.0,10.0,10.0,40,10.0,40,80
89.0,IBUWIN 600 GEL CAPS BLIST X 10 CAJA X 100 ,124.0,,,,,,,,20.0,10.0,,,94,22,1.4,BENDI,2026-04-01,0.0,,2024-10-01,15.0,3.0,10.0,30.0,58,14.5,58,116
90.0,IBUWIN FORTE  GEL CAPS BLIST X 10  CAJA X 100 ,10.0,1.0,,,,,,,1.0,1.0,1.0,,6,16,20.0,,2026-12-01,3.0,,2025-01-01,1.0,4.0,2.0,4.0,11,2.75,11,22
91.0,IRBERSA+HIDRO 300/25 BLIST X 10 CAJ X 30 CAPLIN,4.0,,,,,,,,,,,,4,4,61.0,,2026-05-01,0.0,,2025-02-01,1.0,1.0,1.0,1.0,4,1.0,4,8
