No,ARTICULO  ESTUARDO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
56,PASTILLA BOTANICAL SLIMING (MEIZY TANG) X 30,1.0,62.0,100.0,0.38,62.0,100.0
57,PASTILLA BURN 7 X 30,1.0,62.0,100.0,0.38,62.0,100.0
58,PASTILLA FRUTA PLANTA X 30,1.0,62.0,100.0,0.38,62.0,100.0
59,PASTILLA LIPO PRO X 30,0.0,62.0,100.0,0.38,0.0,0.0
60,PASTILLA RAPIDLY SLIMMING X 30,1.0,62.0,100.0,0.38,62.0,100.0
61,PASTILLA TOMATO X 30,1.0,62.0,100.0,0.38,62.0,100.0
62,PEDIALYTE CEREZA 500 ML,4.0,15.78,23.0,0.3139130434782609,63.12,92.0
63,PEDIALYTE CLASICO COCO 500 ML,5.0,15.78,23.0,0.3139130434782609,78.89999999999999,115.0
64,PEDIALYTE FRESA 500 ML  60,4.0,15.78,23.0,0.3139130434782609,63.12,92.0
65,PEDIALYTE MANZANA 500 ML 60,3.0,15.78,23.0,0.3139130434782609,47.339999999999996,69.0
66,PEDIALYTE UVA 500 ML  60,4.0,15.8,23.0,0.31304347826086953,63.2,92.0
67,PENICILINA POMADA,9.0,6.5,12.0,0.4583333333333333,58.5,108.0
68,PIOJIN BURBUJAS CARTON X 12 BURBUJAS,26.0,2.67,5.0,0.466,69.42,130.0
69,PLAN B CARTERITA X 2 DISPENSADOR X 12,5.0,15.38,80.0,0.8077500000000001,76.9,400.0
70,PRINCIPAL FORTE BLIST X 5 CAJA X 60,8.0,12.6,20.0,0.37,100.8,160.0
71,PROGESTIN DEPOT 250 KIT,1.0,39.0,61.0,0.36065573770491804,39.0,61.0
72,PROPANOLOL 40 MG BLISTER X 20 TABS CAJA X 100 INFASA,4.0,5.05,9.0,0.4388888888888889,20.2,36.0
73,PRUEBA DE GLUCOSA,43.0,2.83,5.0,0.434,121.69,215.0
74,PRUEBA DE OXIGENO,5.0,2.5,5.0,0.5,12.5,25.0
75,RANITIDINA 50 MGS/2ML X 10 AMPOLLAS VITALIS,4.0,5.6,12.0,0.5333333333333333,22.4,48.0
76,RODILLERA ,2.0,7.0,15.0,0.5333333333333333,14.0,30.0
77,ROSUVASTATINA 20 MG BLIST X 10 SUVAATIN),4.0,15.0,35.0,0.5714285714285714,60.0,140.0
78,SITAGLIPTINA PHARMADEL BLIST X 10 TAB ,3.0,10.0,30.0,0.6666666666666666,30.0,90.0
79,SOLUCION SALINA 500 ML,2.0,9.64,19.0,0.49263157894736836,19.28,38.0
80,SPASMO CIBALGINA BLIST X 10 TAB CAJA X 100,20.0,0.79,2.0,0.605,15.8,40.0
81,SUEROX ALOE VERA/LYCHE 630 ML,1.0,11.0,20.0,0.45,11.0,20.0
82,SUEROX COCO 630 ML,2.0,11.0,20.0,0.45,22.0,40.0
83,SUEROX FRESA MENTA 630 ML,1.0,10.41,20.0,0.4795,10.41,20.0
84,SUEROX FRESA/KIGUI 630 ML,1.0,10.85,20.0,0.4575,10.85,20.0
85,SUEROX FRUTOS ROJOS 630 ML,2.0,11.0,20.0,0.45,22.0,40.0
86,SUEROX LIMA LIMON 630 ML,2.0,10.85,20.0,0.4575,21.7,40.0
87,SUEROX MANZANA 630 ML,0.0,11.7,20.0,0.41500000000000004,0.0,0.0
88,SUEROX MORA AZUL/ HIERBABUENA 630 ML,1.0,10.85,20.0,0.4575,10.85,20.0
89,SUEROX NARANAJA/ MANDARINA 630 ML,2.0,11.7,20.0,0.41500000000000004,23.4,40.0
90,SUEROX UVA 630 ML,0.0,10.5,20.0,0.475,0.0,0.0
91,SULFADIAZINA DE PLATA GF CREMA 1% X 15G,2.0,22.5,48.0,0.53125,45.0,96.0
92,TE DIGESTIVO CAJA X 20 SOBRES ,14.0,0.7,1.5,0.5333333333333333,9.799999999999999,21.0
93,TE MORINGA CAJA X 20 SOBRES,10.0,0.85,1.5,0.43333333333333335,8.5,15.0
94,TIAZIL HIDRO/AMILORIDA 50/5 BLIST X 10 INFASA,4.0,4.0,18.0,0.7777777777777778,16.0,72.0
95,TOBILLERA ,2.0,4.0,12.0,0.6666666666666666,8.0,24.0
96,TOMA DE PRESION,9.0,1.5,3.0,0.5,13.5,27.0
97,TROPIUM -750 BROMURO DE IPATROPIUM 750 MCG/ML ,2.0,90.0,150.0,0.4,180.0,300.0
98,URIKEM 300 CAJA X 30 BLIST X 10,5.0,3.95,6.2,0.3629032258064516,19.75,31.0
99,URIN BLIST X 5 TAB CAJA X 100,32.0,3.5,5.6,0.37499999999999994,112.0,179.2
100,VIGORLAX MULTIVITAMINICO CAJA X 30 TABLETAS,1.0,86.67,140.0,0.3809285714285714,86.67,140.0
101,"VIVE COOR SAB (UV,NAR, FRE,CHO,MAN, MEN) ",8.0,9.31,15.0,0.3793333333333333,74.48,120.0
102,VIVE RETARDANTE TEXT 8 CAJAS X 3 UND,2.0,9.69,17.0,0.43000000000000005,19.38,34.0
103,VIVE SENSITIVO 8 CAJAS X 3 UND,1.0,8.46,15.0,0.43599999999999994,8.46,15.0
104,WINASORB ADULTO CAJA X 100 BLIST X 4,39.0,0.45,0.875,0.4857142857142857,17.55,34.125
105,WINASORB NIÑOS CAJA X 100 BLIST X 4,47.0,0.45,0.88,0.48863636363636365,21.150000000000002,41.36
106,YES NOT (PRUEBA DE EMB) CASSETT,5.0,5.5,12.0,0.5416666666666666,27.5,60.0
107,,,,,,0.0,0.0
108,,,,,,0.0,0.0
109,,,,,,0.0,0.0
110,,,,,,0.0,0.0
111,,,,,,0.0,0.0
112,,,,,,0.0,0.0
113,,,,,,0.0,0.0
114,,,,,,5628.281999999998,10417.885000000002
115,,,,,,,4789.603000000004
116,,,,,,,
117,,,,,,,0.45974811586036923
118,,,,,,,
119,,,,,,,
120,,,,,,,
121,,,,,,,
122,,,,,,,
123,,,,,,,
124,,,,,,,
125,,,,,,,
126,,,,,,,
127,,,,,,,
128,,,,,,,
129,,,,,,,
130,,,,,,,
131,,,,,,,
132,,,,,,,
133,,,,,,,
133,,,,,,,
134,,,,,,,
134,,,,,,,
