No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,PROMEDIO,1 MES,2 MESES
101.0,"VIVE COOR SAB (UV,NAR, FRE,CHO,MAN, MEN) ",8.0,,,,,,,,,,,,8.0,4.0,15.0,BOFASA,2027-09-01,,,2023-07-01,1.0,1.0,3.0,1.0,6.0,1.5,6.0,12.0
102.0,VIVE RETARDANTE TEXT 8 CAJAS X 3 UND,2.0,,,,,,,,,,,,2.0,8.0,17.0,BOFASA,2027-05-01,,,2023-04-01,1.0,1.0,2.0,1.0,5.0,1.25,5.0,10.0
103.0,VIVE SENSITIVO 8 CAJAS X 3 UND,2.0,,,,,2.0,,,,,,,0.0,8.0,15.0,BOFASA,2026-10-01,,,2022-12-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
104.0,WINASORB ADULTO CAJA X 100 BLIST X 4,39.0,,,,,,,,,,,,39.0,5.0,0.875,B PRECIO,2026-12-01,,,2024-02-01,6.0,4.0,4.0,8.0,22.0,5.5,22.0,44.0
105.0,WINASORB NIÑOS CAJA X 100 BLIST X 4,47.0,,,,,,,,,,,,47.0,-7.0,0.88,B PRECIO,2025-12-01,,,2024-02-01,,10.0,,10.0,20.0,5.0,20.0,40.0
106.0,YES NOT (PRUEBA DE EMB) CASSETT,5.0,,,,,,,,,,,,5.0,5.0,12.0,CELIA,2026-06-01,10.0,,2024-12-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
107.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0
108.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0
109.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0
110.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0
111.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0
112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
