No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
58,DOMINAL CAJA X 100 SOBRES,96.0,0.55,1.0,0.44999999999999996,52.800000000000004,96.0
59,DORIVAL CAJA X 60 GRAGEAS BLIST X 12 TAB,41.0,0.66,2.0,0.6699999999999999,27.060000000000002,82.0
60,DULSITOS JBE 120 ML,3.0,16.3,29.0,0.4379310344827586,48.900000000000006,87.0
61,ENANTYUM 25 MG CAJA X 10 TABLETAS ,15.0,7.0,12.0,0.4166666666666667,105.0,180.0
62,ENTEROGERMINA AMP 2 BILLONES BEB 5 ML CJ X 20,27.0,10.55,20.0,0.4725,284.85,540.0
63,ESPASMOFIN NF (COLICOS) CAJA X 110 SOBRES,28.0,1.18,2.0,0.41000000000000003,33.04,56.0
64,EXPECTORANTE COMPUESTO LANCASCO 120 ML,1.0,24.3,45.0,0.45999999999999996,24.3,45.0
65,FIBRA GUMMY 3MG VESA FCO X 40 GOMITAS ,1.0,25.3,55.0,0.54,25.3,55.0
66,FLAMYDOL AMPOLLA ,8.0,3.0,7.0,0.5714285714285714,24.0,56.0
67,FLAMYDOL RETARD CAJA X 48 BLIST X 4,16.0,1.87,10.0,0.813,29.92,160.0
68,FLUDISIN (AMBROXOL) JBE 100 ML LEGSA,4.0,20.3,35.0,0.42,81.2,140.0
69,FLUDISIN COM (AMBR+CLEB) 100 ML LEGSA,3.0,22.0,39.0,0.4358974358974359,66.0,117.0
70,FLUDISIN L (AMB + LORATAD) 100 ML LEGSA,6.0,25.45,39.0,0.3474358974358975,152.7,234.0
71,GASA POR UNIDAD BOLSA X 100,98.0,0.3,0.5,0.4,29.4,49.0
72,GENOGASTRIL  CAJA X 2 FCOS  60 CAPS,1.0,50.0,95.0,0.47368421052631576,50.0,95.0
73,GINCKO + NEURO CAJA X 60 BLIST X 10,0.0,5.833,9.34,0.3754817987152034,0.0,0.0
74,GINSENG ESENCIAL FCO 75 ML,1.0,15.0,26.0,0.4230769230769231,15.0,26.0
75,GLICITOS L (AMBROXOL+LORATADINA)120 ML SELEC,1.0,21.3,37.0,0.4243243243243243,21.3,37.0
76,GRANEODIN FRAMBUESA CAJA X 24 PASTILLAS ,28.0,1.5,3.0,0.5,42.0,84.0
77,GRANEODIN MIEL LIMON CAJA X 24 PASTILLAS ,32.0,1.22,3.0,0.5933333333333334,39.04,96.0
78,HEMOBEX 10 ML HIGADO CRUDO + COMPLEJO B,4.0,5.3,10.0,0.47000000000000003,21.2,40.0
79,HIDRAVIDA COCO,6.0,11.32,19.0,0.40421052631578946,67.92,114.0
80,HIDRAVIDA FRESA,4.0,11.54,19.0,0.39263157894736844,46.16,76.0
81,HIDRAVIDA JAMAICA,4.0,11.58,19.0,0.39052631578947367,46.32,76.0
82,HIDRAVIDA LIMA LIMON,3.0,11.58,19.0,0.39052631578947367,34.74,57.0
83,HIDRAVIDA MARACUYA,4.0,11.58,19.0,0.39052631578947367,46.32,76.0
84,HIDRAVIDA MORA -AZUL ,4.0,11.44,19.0,0.3978947368421053,45.76,76.0
85,HIDRAVIDA NARANJA-MANDARINA,4.0,11.58,19.0,0.39052631578947367,46.32,76.0
86,HIDRAVIDA UVA,4.0,11.36,19.0,0.40210526315789474,45.44,76.0
87,HIERRO KIDS 240 ML,1.0,8.3,28.0,0.7035714285714285,8.3,28.0
88,HIGAVYT 5 10 ML EXTRTACTO DE HIGADO,12.0,5.3,10.0,0.47000000000000003,63.599999999999994,120.0
89,IBUPROFENO FORTE 800 MGS CAJA X 100 BLIST X 10,103.0,0.74,2.0,0.63,76.22,206.0
90,LANSOPRAZOL 30 MG BLIST X 10 CAJA X 50   INFASA,7.0,11.4,19.0,0.39999999999999997,79.8,133.0
91,LECHE DE MAGNESIA PHILIPS 60 ML,4.0,12.3,23.0,0.4652173913043478,49.2,92.0
92,LIMPIA COLON FCO X 100 TABS,1.0,20.3,40.0,0.4925,20.3,40.0
93,LOFENAK (DICLO SOD 100 MGS) CAJA X 50 B BLIST X 10,12.0,3.8,7.0,0.4571428571428572,45.599999999999994,84.0
94,LOMBRINIÑOS CAJA X 40 SOBRES ,14.0,1.0,1.75,0.42857142857142855,14.0,24.5
95,LORATADINA 10MG GEL CAPS CAJA X 100 BLIST X 10,2.0,6.5,11.0,0.4090909090909091,13.0,22.0
96,MAGNESIA SANTE  120 ML FCO,1.0,8.3,15.0,0.4466666666666666,8.3,15.0
97,MARIGUANOL BOTE,2.0,5.3,10.0,0.47000000000000003,10.6,20.0
98,MELATONINA 5MGS FCO X 100 BOLSA X 10 VESA,10.0,3.8,13.0,0.7076923076923076,38.0,130.0
99,MENOESTROGEN FRASCO X 30 TAB,1.0,26.0,50.0,0.48,26.0,50.0
100,MENTOL DAVIS MUESTRA,5.0,1.66,3.5,0.5257142857142857,8.299999999999999,17.5
101,MIGRADORIXINA BLIST X 10 CAJA X 100,163.0,0.8,4.7,0.8297872340425533,130.4,766.1
102,NAUSEOL BLISTER X 10 TAB BONIN CAJA X 500,220.0,0.2,0.9,0.7777777777777777,44.0,198.0
103,NEOBOL CREMA 30 GRS,1.0,40.0,77.0,0.4805194805194805,40.0,77.0
104,NEOBOL SPRAY 30 ML,2.0,45.3,77.0,0.4116883116883117,90.6,154.0
105,NEOMELUBRINA AMPOLLA 2 ML,19.0,2.5,8.0,0.6875,47.5,152.0
106,NEOMELUBRINA CAJA X 100 BLIST X 4,123.0,0.25,1.25,0.8,30.75,153.75
107,NERVESSA PASTILLAS DISP  50,48.0,2.06,3.5,0.4114285714285714,98.88,168.0
108,NERVOTIAMIN D SOBRE X 4 TAB CAJA X 100  ANCALMO,174.0,0.93,1.75,0.4685714285714285,161.82000000000002,304.5
109,NEUMONIL AMPOLLA 1 ML,15.0,4.0,10.0,0.6,60.0,150.0
110,NEURO NERVIOL CAJA X 10 AMPOLLAS,1.0,30.0,55.0,0.45454545454545453,30.0,55.0
111,NEUROBION  CAJA X 120 TAB BLIST X 5,148.0,1.25,4.0,0.6875,185.0,592.0
112,"NEUROBION 25,000 1 DOSIS CAMARA",1.0,45.3,77.0,0.4116883116883117,45.3,77.0
113,"NEUROBION 25,000 KIT INYECTADO  1 AMP",3.0,9.3,34.0,0.7264705882352941,27.900000000000002,102.0
114,NEXT BLIST X 10 CAJA X 20,76.0,1.1,2.3,0.5217391304347825,83.60000000000001,174.79999999999998
115,NIKSON CAJA X 90 BLIST X 10,76.0,1.39,2.7,0.4851851851851853,105.63999999999999,205.20000000000002
116,NORMA CYCLE 28 FACO 240 ML (REGULADOR),1.0,9.0,25.0,0.64,9.0,25.0
117,OJO DE AGUILA CON VITA A 40 ML,2.0,12.0,19.0,0.3684210526315789,24.0,38.0
118,OMEGA 3 1000 MG caja x 30 BLIST. X 10 FORALSALUD,2.0,8.937,16.0,0.44143750000000004,17.874,32.0
119,OMEGA 3 6 9 1200 MG VESA FCO X 100 GELCAPS,1.0,38.3,68.0,0.436764705882353,38.3,68.0
120,OVARICION JARABE 240 ML,1.0,10.0,20.0,0.5,10.0,20.0
121,OVARICON CAJA X 30 TAB BLISTER X 10,1.0,25.0,50.0,0.5,25.0,50.0
122,PANADOL EXTRAFUERTE X 50 SOBRE,17.0,0.8,2.0,0.6,13.600000000000001,34.0
