Nombre,COSTO,EXISTENCIA,COSTO_UNIDAD,CANTIDAD_TOTAL_UNIDADES,FECHA_COMPRA,FECHA_VENCIMIENTO
DICLOCIEN 100 MGS CAPS GRANU BLIST X 10 CAJA X 100,2.875,8.0,0.288,80.0,2024-09-01,2026-06-01
DICLOCIEN 100 MGS GEL CAPS BLIST X 10 CAJA X 100,4.4,13.0,0.44,130.0,2025-04-01,2026-09-01
DICLOFENACO 100 MGS SOD GEL CAPS BLIST X 10 CAJA X 100 AR,0.43,105.0,0.043,1050.0,2025-03-01,2027-03-01
DICLOFENACO SOD 50 MG BLIS X 10 CAJA X 100 SELEC,1.265,10.0,0.126,100.0,2024-03-01,2028-04-01
DICLOXACILINA 500 MG BLISTER X 10 CAPLIN CAJA X 100,8.35,5.0,0.835,50.0,2025-02-01,2027-05-01
DIPIRONA AMPOLLA 2 ML CAPLIN,1.75,12.0,1.75,12.0,2025-03-01,2027-06-01
DOLFIX 100 MGS CAPS GRANU BLIST X 10 CAJA X 100,6.5,7.0,0.65,70.0,2025-03-01,2026-12-01
DOLFIX 100 MGS GEL CAPS BLIST X 10 CAJA X 20,6.75,2.0,0.675,20.0,2024-09-01,2026-09-01
DOLODENT SANTE 18 ML CAJA X 12 UNIDADES,4.04,3.0,0.337,36.0,2024-11-01,2026-09-01
DOLO-NERVISEL  KIT,10.68,8.0,10.68,8.0,2025-04-01,2027-05-01
DROPADEX 25 MGS GEL CAPS BLIST X 10 CAJA X 50,1.25,52.0,0.125,520.0,2024-09-01,2025-08-01
DROPADEX DUO BLIST X 10 CAJA X 10,2.5,30.0,0.25,300.0,2024-12-01,2026-04-01
ENALAPRIL 20MG BLIST X 20 SELECT CAJA X 100,4.37,15.0,0.218,300.0,2025-04-01,2026-10-01
ENZIMAS DIGES BLIST X 10 CAJA X 30 CONAMEP,8.03,4.0,0.803,40.0,2025-04-01,2027-11-01
ENZITROL BLIST X 10 CAJA X 100,7.92,9.0,0.792,90.0,2025-04-01,2027-08-01
ERITROMICINA 500 MGS BLIST X 10 CAJA X 50,11.46,2.0,1.146,20.0,2024-01-01,2026-01-01
ERITROMICINA SUSP 250 MGS/5ML FCO X  60 ML THERFAM,12.15,1.0,12.15,1.0,2024-02-01,2027-09-01
ERMAVIGOR PLUS X 10 AMP BEBIBLE PHENIEL,50.55,0.0,50.55,0.0,,
ESOMEPRAZOL 40 MG BLIST X 10 CAJA X 100 WASHINGTON,11.5,11.0,1.15,110.0,2025-02-01,2027-09-01
ESOMEPRAZOL 40 MGS BLIST X CAJA X 30 CAPLIN,10.857,9.0,10.857,9.0,2024-12-01,2027-02-01
