Nombre;Cantidad;FV;FC;Costo;PP;PROFIT
ACEITE DE RECINO 1 ONZ LASANA;3;nov-27;feb-26;6.85;12.00;43%
ACETONA  PURA 2 ONZ LASANA ;3;nov-27;ene-26;5.10;9.00;43%
ACICLOVIR 400 MG/5ML  FCO 100 ML CAPLIN;2;ago-27;dic-25;19.95;38.00;48%
ACIDO ACETILSALICILICO 100 MG BLISTER X 10 CAJA X 100;6;ago-28;ene-26;0.80;2.50;68%
ACIDO BORICO POLVO 1 ONZ BOLSA X 8;20;ene-29;dic-25;1.81;5.00;64%
AGUA CAL DE SEGUNDA FCO 60 ML  ;1;mar-27;feb-26;6.60;12.00;45%
ALBENDAZOL 400 MG SUSP FCO X 10 ML CAPLIN;7;oct-27;ago-25;3.25;7.00;54%
ALBENDAZOL CAJA X 2 TAB CAPLIN Y ARGUS;10;dic-27;nov-25;1.20;5.00;76%
ALCANFOR FCO X 100 CUADROS;76;abr-27;sep-25;0.60;2.00;70%
