No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1,ACEITE DE RECINO 1 ONZ LASANA,3.0,6.85,12.0,0.4291666666666667,20.549999999999997,36.0
2,ACETAMINOFEN  500 MG BLISTR X 10 CAJA X 100,61.0,1.418,2.5,0.4328,86.49799999999999,152.5
3,ACICLOVIR 400 MG/5ML  FCO 100 ML CAPLIN,1.0,19.95,38.0,0.47500000000000003,19.95,38.0
4,ACIDO ACETILSALICILICO 100 MG BLISTER X 10 CAJA X 100,11.0,0.8,2.5,0.6799999999999999,8.8,27.5
5,ACIDO BORICO POLVO 1 ONZ BOLSA X 8,10.0,1.65,5.0,0.67,16.5,50.0
6,ALBENDAZOL 400 MG SUSP FCO X 10 ML CAPLIN,3.0,3.25,7.0,0.5357142857142857,9.75,21.0
7,ALBENDAZOL CAJA X 2 TAB CAPLIN Y ARGUS,20.0,1.2,5.0,0.76,24.0,100.0
8,ALCOHOL  ELITICO70% 1/2 LITRO VESA,2.0,9.9,17.0,0.41764705882352937,19.8,34.0
9,ALCOHOL ALCANFORADO 120 ML SANTE,3.0,4.55,8.0,0.43125,13.649999999999999,24.0
10,ALOPURINOL 300 MG BLISTER X 10 CAJA X 100,17.0,3.0,5.0,0.4,51.0,85.0
11,AMLODIPINA 10 MG BLISTER X 10 CAJA X 100,22.0,2.23,5.0,0.554,49.06,110.0
12,AMLODIPINA 5 MG BLISTER X 10 CAJA X 100,29.0,1.62,4.0,0.595,46.980000000000004,116.0
13,AMOXI+CLAV 400+57MG BID 70 ML (LEVECILIN) ,1.0,51.95,85.0,0.3888235294117647,51.95,85.0
14,AMOXICILINA 500 MG BLIST X 10 CAJA X 100 (ARGUS O CAPLIN),22.0,2.895,6.0,0.5175,63.69,132.0
15,AMPICILINA 500 MG BLISTER X 10 CAJA X  100,10.0,4.63,10.0,0.537,46.3,100.0
16,ANTIGRIPITO INFANIL JBE 60 ML,1.0,16.6,29.0,0.4275862068965517,16.6,29.0
17,ATENOLOL 100 MG BLIST X 10 CAJA X 100ARGUS,20.0,1.7,5.0,0.6599999999999999,34.0,100.0
18,ATENOLOL 100 MG CAPLIN BLIST X 10 CAJA X 100,0.0,29.95,50.0,0.401,0.0,0.0
19,AZITROMICINA 200 MGS FCO X 30 ML CAPLIN,3.0,12.0,23.0,0.4782608695652174,36.0,69.0
20,AZITROMICINA 200 MGS SUSP FCO X 15 ML SELEC,4.0,14.65,25.0,0.414,58.6,100.0
21,AZITROMICINA 500 MG CAJA X 3 TAB,12.0,8.04,18.0,0.5533333333333333,96.47999999999999,216.0
22,BENZOATO DE BENCILO FCO X 120 ML SELEC,3.0,10.8,19.0,0.431578947368421,32.400000000000006,57.0
23,BICARBONATO DE SODIO MEDIA LIBRA DISFAVIL,8.0,4.4,9.0,0.5111111111111111,35.2,72.0
24,CALCIO + VITAMINA D  BLISTER X 10 CAJA X 100 SELEC,14.0,3.56,6.0,0.4066666666666667,49.84,84.0
25,CARBAMAZEPINA 200 MG BLIST X 10 CAJA X 100 SELEC,15.0,5.0,9.0,0.4444444444444444,75.0,135.0
26,CARBAMAZEPINA 200 MGS BLIST X 10 CAJA X 100 CAPLIN,11.0,2.595,5.0,0.481,28.545,55.0
27,CEFIXIMA 100MG/5ML X FCO 100 ML SHEKINAH,3.0,19.95,37.0,0.4608108108108108,59.849999999999994,111.0
28,CELECOXIB 200 MGS BLIST X 10 CAJA X 100 CAPLIN,11.0,4.595,10.0,0.5405,50.544999999999995,110.0
29,CETIRIZINA 10 MG CAJA X 10 TAB CAPLIN,20.0,0.695,1.5,0.5366666666666667,13.899999999999999,30.0
30,CIPROFLOXACINA 0.3 % SOL OFTALMICAS  FACO X 5 ML SELEC ,4.0,17.55,30.0,0.415,70.2,120.0
31,CLOPIDROGEL 75 MGS BLIST X 10 CAJA X 100 ABIL CHEMPHARMA,7.0,8.315,17.0,0.5108823529411765,58.205,119.0
32,CLOTRIMAZOL 2 % CREMA VAG 20 GRS SELEC,0.0,9.75,17.0,0.4264705882352941,0.0,0.0
33,CLOTRIMAZOL 2 % CREMA VAG 30 GRS CAPLIN,2.0,8.75,16.0,0.453125,17.5,32.0
34,CLOTRIPLEX LATITA X  12.5 GRS CAJA X 40 ,65.0,5.53,9.0,0.38555555555555554,359.45,585.0
35,COMPLEJO B BLISTER X 10 CAJA X 100 CAPLIN,15.0,0.8,2.0,0.6,12.0,30.0
36,COMPLEJO B JARABE CAJA X 10 SOBRES CAPLIN ,1.0,22.95,40.0,0.42625,22.95,40.0
37,COQUELUCHE FCO 120 ML,1.0,23.85,39.0,0.3884615384615384,23.85,39.0
38,CREMA LASSAR BB COOL 120 GRS,3.0,13.45,23.0,0.41521739130434787,40.349999999999994,69.0
39,CUESIIGERMINA CAJA X 10 AMP PHARMAV,44.0,5.62,15.0,0.6253333333333333,247.28,660.0
40,DESLORATADINA 5 MG BLISTER X 10 CAJA X 100 CAPLIN,13.0,2.78,5.0,0.44400000000000006,36.14,65.0
41,DESLORATADINA 5 MG BLISTER X 20 CAJA X 100 SELEC,13.0,4.39,8.0,0.45125000000000004,57.06999999999999,104.0
42,DESLORTADINA JARABE FCO X 60 ML SELEC,4.0,22.95,39.0,0.4115384615384616,91.8,156.0
43,DEXAMETASONA BLIST X 10 CAJA X 100 CAPLIN,7.0,4.0,7.0,0.42857142857142855,28.0,49.0
44,DEXASEL 0.5 MG BLISTR X 20 SELEC (DEXAMETASONA),77.0,0.43,0.95,0.5473684210526316,33.11,73.14999999999999
45,DEXTROMETORFANO  JBE 120 ML SELEC,4.0,9.85,17.0,0.42058823529411765,39.4,68.0
46,DICLOCIEN 100 MGS CAPS GRANU BLIST X 10 CAJA X 100,8.0,2.875,7.0,0.5892857142857143,23.0,56.0
47,DICLOCIEN 100 MGS GEL CAPS BLIST X 10 CAJA X 100,13.0,4.4,9.0,0.5111111111111111,57.2,117.0
48,DICLOFENACO 100 MGS SOD GEL CAPS BLIST X 10 CAJA X 100 AR,105.0,0.43,0.8,0.4625,45.15,84.0
49,DICLOFENACO POT 50 MG BLIST X 10 CAJA X 100,30.0,0.94,2.5,0.624,28.2,75.0
50,DICLOFENACO SOD 50 MG BLIS X 10 CAJA X 100 SELEC,10.0,1.265,2.5,0.49400000000000005,12.649999999999999,25.0
51,DICLOXACILINA 500 MG BLISTER X 10 CAPLIN CAJA X 100,5.0,8.35,17.0,0.5088235294117647,41.75,85.0
52,DIPIRONA AMPOLLA 2 ML CAPLIN,12.0,1.75,3.0,0.4166666666666667,21.0,36.0
53,DOLFIX 100 MGS CAPS GRANU BLIST X 10 CAJA X 100,7.0,6.5,12.0,0.4583333333333333,45.5,84.0
54,DOLFIX 100 MGS GEL CAPS BLIST X 10 CAJA X 20,2.0,6.75,13.0,0.4807692307692308,13.5,26.0
55,DOLODENT SANTE 18 ML CAJA X 12 UNIDADES,3.0,4.04,7.0,0.4228571428571429,12.120000000000001,21.0
56,DOLO-NERVISEL  KIT ,8.0,10.71,19.0,0.43631578947368416,85.68,152.0
57,DOXICICLINA 100 MGS CAJA X 100 BLIST X 10 CAPLIN,10.0,3.4,6.0,0.43333333333333335,34.0,60.0
58,DROPADEX 25 MGS GEL CAPS BLIST X 10 CAJA X 50,52.0,1.25,4.0,0.6875,65.0,208.0
59,DROPADEX DUO BLIST X 10 CAJA X 10,30.0,2.5,4.5,0.4444444444444444,75.0,135.0
60,ENALAPRIL 20MG BLIST X 20 SELECT CAJA X 100,15.0,4.37,8.0,0.45375,65.55,120.0
61,ENZIMAS DIGES BLIST X 10 CAJA X 30 CONAMEP,4.0,8.03,15.0,0.46466666666666673,32.12,60.0
62,ENZITROL BLIST X 10 CAJA X 100,9.0,7.92,13.0,0.39076923076923076,71.28,117.0
63,ERITROMICINA 500 MGS BLIST X 10 CAJA X 50,2.0,11.46,20.0,0.42699999999999994,22.92,40.0
64,ERITROMICINA SUSP 250 MGS/5ML FCO X  60 ML THERFAM,1.0,12.15,22.0,0.4477272727272727,12.15,22.0
65,ERMAVIGOR PLUS X 10 AMP BEBIBLE PHENIEL ,0.0,50.55,85.0,0.40529411764705886,0.0,0.0
