No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 28 ABRIL,SEM 5 MAYO,SEM 12 MAYO, SEM 21 ABRIL,TOTAL,PROMEDIO,1 MES,2 MESES,2 MESES.1
37,GUATA 4X4 (RELLENO ORTOPEDICO) 100% ALGODÓN,1.0,,,,,,,,,,,,1.0,-1.0,12.0,,2029-01-01,1.0,,2025-04-01,,,,,0.0,0.0,0.0,0.0,
38,HIERRO SACAROSA 100MG/5ML CAJA X 10 VITALIS,6.0,,,,,,,,,,,,6.0,8.0,59.0,MEGAPHA,2026-06-01,0.0,,2025-04-01,4.0,2.0,,1.0,7.0,1.75,7.0,14.0,
39,INDAPAMIDA SR 1.5 MGS CAJA X 100 BLIST X 10 QADIRA,10.0,,,,,,1.0,,,,,,9.0,-9.0,23.0,,2026-03-01,,,2025-04-01,,,,,0.0,0.0,0.0,0.0,
40,LIDOCAINA 2 % C/PRESERVANTE VIAL 50 ML LOTUS,0.0,,,,,,,,,,,,0.0,4.0,18.0,,2025-10-01,0.0,,2024-12-01,,1.0,1.0,1.0,3.0,0.75,3.0,6.0,
41,MANTECA DE CACAO MENTOLADA LATA ,0.0,,,,,,,,,,,,0.0,0.0,16.0,,,,,,,,,,0.0,0.0,0.0,0.0,
42,MASCARILLA NEBULIZAR  (NEONATO) OPERSON,1.0,,,,,,,,,,,,1.0,7.0,29.0,,2028-06-01,1.0,,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0,
43,MASCARILLA NEBULIZAR  (NIÑO) OPERSON,1.0,,,,,,,,,,,,1.0,7.0,29.0,,2028-08-01,4.0,,2024-06-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0,
44,MASCARILLA NEBULIZAR (ADULTO) OPERSON,5.0,,,,1.0,,,,,,,,4.0,8.0,29.0,,2029-08-01,1.0,,2025-03-01,1.0,3.0,1.0,1.0,6.0,1.5,6.0,12.0,
45,MEROPENEM CJ X VIAL 20 ML ,1.0,,,,,,,,,,,,1.0,-1.0,59.0,,2026-10-01,1.0,,2025-04-01,,,,,0.0,0.0,0.0,0.0,
46,METOCLOPRAMIDA 10 MG CJX100 TAB BLIST X 10,6.8,,,,,,,,,,,,6.8,-4.4,18.0,,2025-09-01,0.0,,2024-02-01,,0.2,,1.0,1.2,0.3,1.2,2.4,
