No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
54,PROPOLTOX (PROPOLEO) JBE 120 ML ,1.0,24.25,41.0,0.40853658536585363,24.25,41.0
55,PROTECTOR LABIAL JALOMA BOTE CON 60 ,20.0,2.161,4.0,0.45975,43.22,80.0
56,RHELAX FLEB  POMADA 60 GRS,2.0,15.45,27.0,0.4277777777777778,30.9,54.0
57,SECNIDAZOL 500 MG 12 BLIST X 4 CAJA X 48 INFASA,20.0,4.36,10.0,0.564,87.2,200.0
58,SUCRALFATO   200 ML  SUSP,4.0,31.11,52.0,0.4017307692307692,124.44,208.0
59,SUERO EN POLVO NARANJA 1 LT PROMEGAL X 25,16.0,2.016,4.0,0.496,32.256,64.0
60,TERMOMETRO DIGITAL C/AZUL (OPERSON),1.0,18.95,33.0,0.4257575757575758,18.95,33.0
61,TYLENOL ROJO EXTRA F CJ X 20 TAB 10 SOB,10.0,2.78,5.0,0.44400000000000006,27.799999999999997,50.0
62,UNICIL 1.2 MEGAS (UNIPHARM),0.0,20.95,37.0,0.4337837837837838,0.0,0.0
63,UNICIL 4 MEGAS (UNHIPHARM),2.0,18.95,40.0,0.52625,37.9,80.0
64,VISINA ESTERI J&J GOTAS 15 ML (TETRIZOLIN),2.0,45.25,72.0,0.3715277777777778,90.5,144.0
65,VISTA CLARA 15 ML (ANTIALERGICO),5.0,22.65,40.0,0.43375,113.25,200.0
66,VITAMINA D 2000 BLIST X 15 CAJA X 30 H&V,2.0,15.77,27.0,0.4159259259259259,31.54,54.0
67,ZINC 30 MG CAJA X 30  BLIST X 10 CAPS (FORAL SALUD),3.0,5.48,10.0,0.45199999999999996,16.44,30.0
68,ZORRITONE CARAMELO BARRA CAJA X 12 JENGIBRE,12.0,2.995,5.0,0.40099999999999997,35.94,60.0
69,,,,,,0.0,0.0
70,,,,,,0.0,0.0
71,,,,,,0.0,0.0
72,,,,,,3431.555,6342.185
73,,,,,,,
74,,,,,,2910.6300000000006,
75,,,,,,,
76,,,,,,0.4589317404017701,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
