No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 28 ABRIL,SEM 5 MAYO,SEM 12 MAYO, SEM 21 ABRIL,TOTAL,PROMEDIO,1 MES,2 MESES
32.0,COLITRAN BLIST X 10 CAJA X 100,165.0,,1.0,10.0,3.0,,,,,,,,151.0,3.0,3.2,,2028-10-01,78.0,,2024-12-01,10.0,24.0,14.0,29.0,77.0,19.25,77.0,154.0
33.0,COMPLEBEN INYECTADO CAJA X 7,1.0,,,,,,,,,,,,1.0,7.0,68.0,,2028-10-01,4.0,,2025-04-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
34.0,COMPLEJO B  VIAL 10 ML BONIN,14.0,1.0,,,,,,,,,,,13.0,-3.0,10.0,,2026-12-01,0.0,,2025-02-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
35.0,CONMEL (DIPIRONA) CAJA X 100 BLISTER X 4,89.0,,,,,,,,,,,,89.0,-71.0,1.13,,2028-12-01,0.0,,2024-09-01,4.0,,4.0,1.0,9.0,2.25,9.0,18.0
36.0,CRANBERRY X 100 VESA ,1.0,,,,,,,,,,,,1.0,-1.0,68.0,,2027-09-01,2.0,,2025-03-01,,,,,0.0,0.0,0.0,0.0
37.0,CROMATONBIC FERRO CAJA X 10 AMP BEBIBLES,1.0,,,,,,,,,,,,1.0,7.0,142.0,,2028-12-01,1.0,,2025-03-01,1.0,2.0,1.0,,4.0,1.0,4.0,8.0
38.0,CURITAS CAJA X 100 CUREFAST,1.0,,,,,,,,,,,,1.0,5.0,17.0,RABI,,3.0,,2024-05-01,1.0,1.0,1.0,,3.0,0.75,3.0,6.0
39.0,CYTOTTEC CAJA X 28 TAB BLIST X 14 TAB SUBLINGUAL,2.0,,,,,,,,,,,,2.0,4.0,350.0,,2026-03-01,0.0,,2024-10-01,1.0,,1.0,1.0,3.0,0.75,3.0,6.0
40.0,DAYAMINERAL FCO 240 ML,1.0,,,,,,,,,,,,1.0,7.0,110.0,,2028-10-01,0.0,,2024-11-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
41.0,DEKA C ADULTO CAJA X 3 AMPOLLAS ,5.0,,,,,,,,,,,,5.0,9.0,29.0,,2028-10-01,11.0,,2025-04-01,1.0,1.0,2.0,3.0,7.0,1.75,7.0,14.0
42.0,DEKA C INFANTIL  CAJA X3 AMPOLLAS ,3.0,,,,,,,,,2.0,,,1.0,17.0,29.0,,2028-10-01,12.0,,2025-04-01,2.0,1.0,4.0,2.0,9.0,2.25,9.0,18.0
43.0,DEKA C JBE  ADULTO 240 ML,1.0,,,,,,,,,,,,1.0,7.0,20.0,,2025-12-01,3.0,,2024-12-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
44.0,DEKA C JBE NIÑO  240 ML,1.0,,,,,,,,,,,,1.0,5.0,20.0,,2026-12-01,1.0,,2025-04-01,1.0,1.0,,1.0,3.0,0.75,3.0,6.0
45.0,DENGUINITA NIÑOS CAJA X 100 BLIST X 10,131.0,,,,,,,,,,,,131.0,-45.0,1.0,,2026-06-01,0.0,,2024-07-01,10.0,13.0,10.0,10.0,43.0,10.75,43.0,86.0
46.0,DEXKETOPROFENO+NEUROTROPA KIT ,8.0,,,,,,,,,,,,8.0,16.0,20.0,,2026-12-01,17.0,,2025-03-01,3.0,4.0,2.0,3.0,12.0,3.0,12.0,24.0
47.0,DIAZEPAN 10 MGS MK BLIS X 10 CAJA X 100,55.0,,,,,,,,,,,,55.0,-15.0,4.4,,2026-04-01,0.0,,2024-08-01,4.0,8.0,4.0,4.0,20.0,5.0,20.0,40.0
48.0,DIBETES FCO X 100 TABS,1.0,,,,,,,,,,,,1.0,5.0,40.0,,2025-12-01,1.0,,2024-05-01,1.0,1.0,,1.0,3.0,0.75,3.0,6.0
49.0,DICLO+NEURO SHEKINAH BLIS X 10 GEL CAPS CAJA X 100,19.0,,1.0,,,,1.0,,,,,,17.0,29.0,10.0,,2026-11-01,2.0,,2025-04-01,3.0,3.0,9.0,8.0,23.0,5.75,23.0,46.0
50.0,DICO GRIP A.M CAJA X 24 SOBRES,9.0,,,,,,,,,,,,9.0,3.0,4.0,,2026-11-01,1.0,,2024-12-01,3.0,1.0,1.0,1.0,6.0,1.5,6.0,12.0
51.0,DICO GRIP P.M CAJA X 24 SOBRES,15.0,,,,,,,,,,,,15.0,3.0,4.0,,2026-11-01,1.0,,2024-12-01,3.0,1.0,1.0,4.0,9.0,2.25,9.0,18.0
52.0,DIPIRONA+DEXAMETASONA X 3 DOSIS,1.0,,,,,,,,,,,,1.0,5.0,40.0,,2026-02-01,2.0,,2023-02-01,1.0,,1.0,1.0,3.0,0.75,3.0,6.0
53.0,DOLO NEUROBION  CAJA X 120 BLIST X 5,173.0,5.0,9.0,,13.0,,,,,7.0,,,139.0,149.0,4.0,,2026-03-01,1.0,,2025-04-01,41.0,42.0,16.0,45.0,144.0,36.0,144.0,288.0
54.0,DOLO NEUROBION FORTE DC ,3.0,,,,,,,,,,,,3.0,9.0,82.0,,2027-10-01,5.0,,2025-04-01,2.0,1.0,1.0,2.0,6.0,1.5,6.0,12.0
55.0,DOLO NEUROBION KIT INYECTADO 2 AMP,2.0,,,,,,,,,,,,2.0,10.0,50.0,,2026-10-01,2.0,,2024-07-01,2.0,1.0,1.0,2.0,6.0,1.5,6.0,12.0
56.0,DOLO NEUROBION XR BLIS X 5 TAB CAJA X 60,65.0,,3.0,,5.0,2.0,5.0,,,,,,50.0,64.0,8.0,,2028-01-01,12.0,,2025-04-01,14.0,19.0,1.0,23.0,57.0,14.25,57.0,114.0
57.0,DOLO TETRAVIT KIT ,2.0,,,,,,,,,,,,2.0,4.0,49.0,,2026-12-01,3.0,,2025-02-01,,1.0,1.0,1.0,3.0,0.75,3.0,6.0
58.0,DOLOVITANERVO PIERSAN  BLIST X 10  CAJA X  150,122.0,,2.0,,,,,,,,,,120.0,-40.0,1.2,,2025-11-01,0.0,,2025-03-01,12.0,13.0,13.0,2.0,40.0,10.0,40.0,80.0
59.0,DOMINAL CAJA X 100 SOBRES,76.0,5.0,,,,2.0,,,,,,,69.0,-43.0,1.0,,2026-08-01,0.0,,2024-07-01,2.0,2.0,7.0,2.0,13.0,3.25,13.0,26.0
60.0,DORIVAL CAJA X 60 GRAGEAS BLIST X 12 TAB,75.0,,4.0,,,,,,,,,,71.0,-7.0,2.0,,2028-11-01,0.0,,2025-04-01,12.0,12.0,6.0,2.0,32.0,8.0,32.0,64.0
61.0,DULSITOS JBE 120 ML,2.0,,,,,,,,,,,,2.0,6.0,29.0,,2026-05-01,2.0,,2025-04-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
62.0,ENANTYUM 25 MG CAJA X 10 TABLETAS ,15.0,,,,,,,,,,,,15.0,-9.0,12.0,,2027-12-01,1.0,,2025-02-01,,1.0,2.0,,3.0,0.75,3.0,6.0
63.0,ENTEROGERMINA AMP 2 BILLONES BEB 5 ML CJ X 20,20.0,,,2.0,,,,,,2.0,,,16.0,30.0,20.0,,2026-02-01,7.0,,2025-02-01,9.0,8.0,2.0,4.0,23.0,5.75,23.0,46.0
64.0,ESPASMOFIN NF (COLICOS) CAJA X 110 SOBRES,28.0,,,,,,,,,,,,28.0,4.0,2.0,,2027-04-01,0.0,,2024-01-01,8.0,1.0,4.0,3.0,16.0,4.0,16.0,32.0
65.0,EXPECTORANTE COMPUESTO LANCASCO 120 ML,3.0,,,,,,,,,,,,3.0,5.0,45.0,,2026-12-01,0.0,,2025-04-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
66.0,FIBRA GUMMY 3MG VESA FCO X 40 GOMITAS ,1.0,,,,,,,,,,,,1.0,1.0,55.0,,2027-12-01,1.0,,2024-08-01,,,,1.0,1.0,0.25,1.0,2.0
67.0,FLAMYDOL AMPOLLA ,7.0,,,,,,,,,,,,7.0,3.0,7.0,,2026-12-01,0.0,,2024-09-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
68.0,FLAMYDOL RETARD CAJA X 48 BLIST X 4,56.0,,,,,,,,,,,,56.0,-24.0,10.0,,2027-08-01,0.0,,2025-02-01,3.0,4.0,1.0,8.0,16.0,4.0,16.0,32.0
69.0,FLUDISIN (AMBROXOL) JBE 100 ML LEGSA,3.0,,,,,,,,,,,,3.0,9.0,35.0,,2026-04-01,4.0,,2025-03-01,3.0,1.0,1.0,1.0,6.0,1.5,6.0,12.0
70.0,FLUDISIN COM (AMBR+CLEB) 100 ML LEGSA,3.0,,,,,,,,,,,,3.0,9.0,39.0,,2027-01-01,2.0,,2025-03-01,1.0,2.0,1.0,2.0,6.0,1.5,6.0,12.0
71.0,FLUDISIN L (AMB + LORATAD) 100 ML LEGSA,4.0,,,,,,,,,,,,4.0,8.0,39.0,B Y F,2026-08-01,6.0,,2025-03-01,1.0,1.0,1.0,3.0,6.0,1.5,6.0,12.0
72.0,GASA POR UNIDAD BOLSA X 100,60.0,,,,,6.0,,,,,,,54.0,62.0,0.5,,2027-04-01,4.0,,2024-09-01,4.0,21.0,23.0,10.0,58.0,14.5,58.0,116.0
73.0,GENOGASTRIL  CAJA X 2 FCOS  60 CAPS,1.0,,,,,,,,,,,,1.0,9.0,95.0,,2027-12-01,0.0,,2024-09-01,1.0,1.0,,3.0,5.0,1.25,5.0,10.0
74.0,GINCKO + NEURO CAJA X 60 BLIST X 10,0.0,,,,,,,,,,,,0.0,54.0,9.34,,2025-12-01,0.0,,2024-12-01,7.0,10.0,7.0,3.0,27.0,6.75,27.0,54.0
75.0,GINSENG ESENCIAL FCO 75 ML,1.0,,,,,1.0,,,,,,,0.0,8.0,26.0,,2028-06-01,3.0,,2024-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
76.0,GLICITOS L (AMBROXOL+LORATADINA)120 ML SELEC,4.0,,,,,,,,,,,,4.0,10.0,37.0,,2027-08-01,2.0,,2025-04-01,1.0,1.0,1.0,4.0,7.0,1.75,7.0,14.0
77.0,GRANEODIN FRAMBUESA CAJA X 24 BLISTER X 12,26.0,,,,,,,,,,,,26.0,18.0,3.0,,2026-01-01,1.0,,2025-01-01,3.0,12.0,5.0,2.0,22.0,5.5,22.0,44.0
78.0,GRANEODIN MIEL LIMON CAJA X 24 PASTILLAS ,26.0,,,,,,,,,,,,26.0,-2.0,3.0,,2026-02-01,0.0,,2025-03-01,,,6.0,6.0,12.0,3.0,12.0,24.0
79.0,HEMOBEX 10 ML HIGADO CRUDO + COMPLEJO B,11.0,,,,,,,,,1.0,,,10.0,0.0,10.0,,1930-10-01,0.0,,2025-03-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0
80.0,HIDRAVIDA COCO,3.0,,,,,,1.0,,,,,,2.0,8.0,19.0,,2026-07-01,34.0,,2025-02-01,1.0,1.0,1.0,2.0,5.0,1.25,5.0,10.0
81.0,HIDRAVIDA FRESA,3.0,,,,,,,,,,,,3.0,7.0,19.0,,2026-07-01,26.0,,2025-02-01,1.0,1.0,1.0,2.0,5.0,1.25,5.0,10.0
82.0,HIDRAVIDA JAMAICA,4.0,,,,,,,,,,,,4.0,6.0,19.0,,2026-01-01,12.0,,2024-09-01,1.0,1.0,1.0,2.0,5.0,1.25,5.0,10.0
83.0,HIDRAVIDA LIMA LIMON,4.0,,,,,,,,,,,,4.0,8.0,19.0,,2026-01-01,14.0,,2024-10-01,1.0,3.0,1.0,1.0,6.0,1.5,6.0,12.0
84.0,HIDRAVIDA MARACUYA,3.0,,,,,,,,,,,,3.0,9.0,19.0,,2026-01-01,18.0,,2024-10-01,1.0,2.0,2.0,1.0,6.0,1.5,6.0,12.0
85.0,HIDRAVIDA MORA -AZUL ,4.0,,,,,,,,,,,,4.0,8.0,19.0,,2026-06-01,33.0,,2025-02-01,1.0,2.0,2.0,1.0,6.0,1.5,6.0,12.0
86.0,HIDRAVIDA NARANJA-MANDARINA,3.0,,,,,,,,,,,,3.0,7.0,19.0,,2026-04-01,12.0,,2024-10-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
87.0,HIDRAVIDA UVA,5.0,,,,,,,,,,,,5.0,13.0,19.0,,2026-07-01,35.0,,2025-02-01,4.0,2.0,2.0,1.0,9.0,2.25,9.0,18.0
88.0,HIGAVYT 5 10 ML EXTRTACTO DE HIGADO,11.0,,,,,,,,,,,,11.0,-1.0,10.0,,2026-10-01,0.0,,2024-12-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0
89.0,IBUPROFENO FORTE 800 MGS CAJA X 100 BLIST X 10,54.0,,2.0,,2.0,1.0,2.0,,,10.0,,,37.0,53.0,2.0,,2026-11-01,0.0,,2024-06-01,12.0,3.0,14.0,16.0,45.0,11.25,45.0,90.0
90.0,LANSOPRAZOL 30 MG BLIST X 10 CAJA X 50   INFASA,5.0,,,,,,,,,,,,5.0,13.0,19.0,BENDILCION,2027-09-01,3.0,,2025-03-01,3.0,3.0,1.0,2.0,9.0,2.25,9.0,18.0
91.0,LECHE DE MAGNESIA PHILIPS 60 ML,3.0,,,,,,,,,,,,3.0,5.0,23.0,,2027-12-01,0.0,,2025-01-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
92.0,LEVONORGESTREL DISPENSADOR X 11 TAB,7.0,,,,,,,,,,,,7.0,5.0,90.0,FE Y GRACIA,2025-11-01,5.0,,2025-04-01,2.0,1.0,1.0,2.0,6.0,1.5,6.0,12.0
93.0,LIMPIA COLON FCO X 100 TABS,1.0,,,,,,,,,,,,1.0,7.0,40.0,,2028-12-01,0.0,,2024-08-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
94.0,LOFENAK (DICLO SOD 100 MGS) CAJA X 50 B BLIST X 10,11.0,,,,,,,,,,,,11.0,3.0,7.0,,2025-07-01,20.0,,2023-02-01,2.0,1.0,3.0,1.0,7.0,1.75,7.0,14.0
95.0,LOMBRINIÑOS CAJA X 40 SOBRES ,14.0,,,,,,,,,,,,14.0,10.0,1.75,,2026-06-01,1.0,,2024-02-01,3.0,2.0,3.0,4.0,12.0,3.0,12.0,24.0
96.0,LORATADINA 10MG GEL CAPS CAJA X 100 BLIST X 10,0.0,,,,,,,,,,,,0.0,8.0,11.0,,2026-06-01,0.0,,2024-11-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
97.0,MAGNESIA SANTE  120 ML FCO,0.0,,,,,,,,,,,,0.0,8.0,15.0,,2026-02-01,0.0,,2024-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
98.0,MARIGUANOL BOTE,1.0,,,,,,,,,,,,1.0,9.0,10.0,,1935-12-01,2.0,,2025-04-01,1.0,1.0,2.0,1.0,5.0,1.25,5.0,10.0
99.0,MELATONINA 5MGS FCO X 100 BOLSA X 10 VESA,12.0,1.0,,,,,,,,1.0,,,10.0,0.0,13.0,,2027-09-01,2.0,,2024-12-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0
100.0,MENOESTROGEN FRASCO X 30 TAB,1.0,,,,,,,,,,,,1.0,1.0,50.0,,2026-01-01,0.0,,2024-07-01,,,,1.0,1.0,0.25,1.0,2.0
101.0,MENTOL DAVIS MUESTRA,6.0,,,,,,,,,,,,6.0,8.0,3.5,,2026-07-01,15.0,,2025-04-01,1.0,3.0,2.0,1.0,7.0,1.75,7.0,14.0
102.0,MIGRADORIXINA BLIST X 10 CAJA X 100,122.0,,,,,1.0,5.0,,,,,,116.0,-46.0,4.7,,2025-12-01,1.0,,2024-12-01,7.0,5.0,13.0,10.0,35.0,8.75,35.0,70.0
103.0,NAUSEOL BLISTER X 10 TAB BONIN CAJA X 500,143.0,6.0,,2.0,,,,,,,,,135.0,19.0,0.9,,2027-07-01,10.0,,2024-12-01,27.0,27.0,3.0,20.0,77.0,19.25,77.0,154.0
104.0,NEOBOL CREMA 30 GRS,1.0,,,,,,,,,,,,1.0,7.0,77.0,,2027-04-01,3.0,,2025-04-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
105.0,NEOBOL SPRAY 30 ML,2.0,,,,,,,,,,,,2.0,6.0,77.0,,2026-07-01,4.0,,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
106.0,NEOMELUBRINA AMPOLLA 2 ML,19.0,,,,,,,,,,,,19.0,1.0,8.0,,2026-10-01,0.0,,2024-07-01,2.0,5.0,1.0,2.0,10.0,2.5,10.0,20.0
107.0,NEOMELUBRINA CAJA X 100 BLIST X 4,134.0,8.0,,,,,4.0,,,4.0,,,118.0,28.0,1.25,,2027-10-01,1.0,,2025-04-01,16.0,16.0,20.0,21.0,73.0,18.25,73.0,146.0
108.0,NERVESSA PASTILLAS DISP  50,31.0,,,,,,,,,,,,31.0,5.0,3.5,COIDE,2027-06-01,1.0,,2025-04-01,4.0,2.0,6.0,6.0,18.0,4.5,18.0,36.0
109.0,NERVOTIAMIN D SOBRE X 4 TAB CAJA X 100  ANCALMO,166.0,,4.0,4.0,4.0,,4.0,,,,,,150.0,0.0,1.75,,2025-12-01,1.0,,2025-04-01,22.0,32.0,6.0,15.0,75.0,18.75,75.0,150.0
110.0,NEUMONIL AMPOLLA 1 ML,13.0,,1.0,,,,,,,,,,12.0,16.0,10.0,,2027-10-01,20.0,,2025-04-01,2.0,4.0,1.0,7.0,14.0,3.5,14.0,28.0
111.0,NEURO NERVIOL CAJA X 10 AMPOLLAS,1.0,,,,,,,,,,,,1.0,1.0,55.0,N/S,2025-12-01,0.0,,2023-11-01,,,,1.0,1.0,0.25,1.0,2.0
112.0,NEUROBION  CAJA X 120 TAB BLIST X 5,184.0,,5.0,5.0,5.0,,7.0,,,,,,162.0,-32.0,4.0,,2027-08-01,1.0,,2025-04-01,12.0,20.0,10.0,23.0,65.0,16.25,65.0,130.0
113.0,"NEUROBION 25,000 1 DOSIS CAMARA",2.0,,,,,,,,,,,,2.0,10.0,77.0,,2027-12-01,5.0,,2025-04-01,2.0,1.0,2.0,1.0,6.0,1.5,6.0,12.0
114.0,"NEUROBION 25,000 KIT INYECTADO  1 AMP",8.0,3.0,,,,4.0,,,,,,,1.0,11.0,34.0,,2026-10-01,2.0,,2025-04-01,2.0,1.0,2.0,1.0,6.0,1.5,6.0,12.0
115.0,NEXT BLIST X 10 CAJA X 20,61.0,,,,,,,,,,,,61.0,5.0,2.3,,2027-12-01,2.0,,2025-01-01,3.0,10.0,10.0,10.0,33.0,8.25,33.0,66.0
116.0,NIKSON CAJA X 90 BLIST X 10,141.0,,,,,,,,,,,,141.0,97.0,2.7,,2028-12-01,1.0,,2025-04-01,14.0,90.0,10.0,5.0,119.0,29.75,119.0,238.0
117.0,NORMA CYCLE 28 FACO 240 ML (REGULADOR),1.0,,,,,,,,,,,,1.0,-1.0,25.0,,2027-01-01,3.0,,2025-01-01,,,,,0.0,0.0,0.0,0.0
118.0,OJO DE AGUILA CON VITA A 40 ML,2.0,,,,,,,,,,,,2.0,4.0,19.0,,2028-12-01,2.0,,2023-12-01,1.0,1.0,,1.0,3.0,0.75,3.0,6.0
119.0,OMEGA 3 1000 MG caja x 30 BLIST. X 10 FORALSALUD,3.0,,,,,,,,,,,,3.0,11.0,16.0,,2027-03-01,0.0,,2024-07-01,1.0,1.0,4.0,1.0,7.0,1.75,7.0,14.0
120.0,OMEGA 3 6 9 1200 MG VESA FCO X 100 GELCAPS,1.0,,,,,,,,,,,,1.0,5.0,68.0,,2027-05-01,3.0,,2024-10-01,1.0,1.0,,1.0,3.0,0.75,3.0,6.0
121.0,OVARICION JARABE 240 ML,1.0,,,,,,,,,,,,1.0,3.0,20.0,,2026-03-01,1.0,,2025-01-01,1.0,,,1.0,2.0,0.5,2.0,4.0
122.0,OVARICON CAJA X 30 TAB BLISTER X 10,1.0,,,,,,,,,,,,1.0,1.0,50.0,,2025-06-01,0.0,,2025-01-01,1.0,,,,1.0,0.25,1.0,2.0
123.0,PANADOL EXTRAFUERTE X 50 SOBRE,44.0,,,,5.0,,,,,,,,39.0,7.0,2.0,,2026-12-01,0.0,,2025-01-01,2.0,5.0,8.0,8.0,23.0,5.75,23.0,46.0
124.0,PANADOL MULTISINTOMAS X 24 SOBRES,36.0,,,,,,,,,1.0,,,35.0,7.0,3.0,,2026-04-01,1.0,,2025-04-01,8.0,4.0,4.0,5.0,21.0,5.25,21.0,42.0
125.0,PANADOL SINUS X 26 SOBRES,13.0,,,,,,,,,,,,13.0,23.0,3.0,,2028-12-01,1.0,,2025-04-01,6.0,6.0,4.0,2.0,18.0,4.5,18.0,36.0
126.0,PANADOL ULTRA X 52 SOBRES,59.0,2.0,,,,2.0,,,,,,,55.0,-23.0,2.5,COIDE,2027-12-01,0.0,,2025-03-01,4.0,2.0,2.0,8.0,16.0,4.0,16.0,32.0
127.0,PARACETAMOL 750 MG  ECOMED CAJA X 60 TAB  BLIST X5,6.0,,1.0,,1.0,,,,,,,,4.0,8.0,12.0,,2027-09-01,1.0,,2024-10-01,1.0,2.0,1.0,2.0,6.0,1.5,6.0,12.0
128.0,PEPTO BISMOL 118 ML (4 ONZ),4.0,,,,,,,,,,,,4.0,10.0,43.0,,2028-12-01,8.0,,2025-03-01,1.0,1.0,2.0,3.0,7.0,1.75,7.0,14.0
129.0,PEPTOBISMOL TIRA  X 24 TAB,22.0,,,,,,4.0,2.0,,,,,16.0,34.0,2.0,,2027-11-01,2.0,,2025-04-01,7.0,8.0,2.0,8.0,25.0,6.25,25.0,50.0
130.0,PILDORA DE WITT BLIST X 20 CAJA X 100,17.0,,,,,,,,,,,,17.0,111.0,0.65,,2025-06-01,0.0,,2023-03-01,4.0,20.0,20.0,20.0,64.0,16.0,64.0,128.0
131.0,PIOFIN FCO 60 ML,2.0,,,,,,,,,,,,2.0,2.0,10.0,,2025-12-01,3.0,,2024-03-01,,1.0,1.0,,2.0,0.5,2.0,4.0
132.0,POMADA DE LA CAMPANA 19 GRS,8.0,,1.0,,1.0,,,,,,,,6.0,4.0,13.0,,,10.0,,2025-01-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
133.0,POMADA DE LA CAMPANA 35 GRS,3.0,,,,,,,,,,,,3.0,5.0,22.0,TAPACH,,5.0,,2025-03-01,1.0,3.0,,,4.0,1.0,4.0,8.0
134.0,PROMETEST PRUEBA DE EMBARAZO,6.0,,,1.0,1.0,,,,,,,,4.0,6.0,15.0,,2025-12-01,0.0,,2025-01-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0
135.0,PULMO GRIP JBE 120 ML,2.0,,,,,,,,,,,,2.0,6.0,25.0,,2026-12-01,0.0,,2024-01-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
136.0,PULMO GRIP KIT ,2.0,,,,,,,,,,,,2.0,0.0,19.0,,2026-11-01,6.0,,2025-03-01,,,,1.0,1.0,0.25,1.0,2.0
137.0,PULMOGRIP JBE 240 ML,2.0,,,,,,,,,,,,2.0,8.0,35.0,,2027-12-01,0.0,,2024-10-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0
138.0,QG5 DUO CAJA X 2 FCOS ,2.0,,,,,,,,,,,,2.0,12.0,45.0,,2027-12-01,1.0,,2025-03-01,2.0,1.0,2.0,2.0,7.0,1.75,7.0,14.0
139.0,RABANO YODADO 240 ML DRAGON,2.0,,,,,,,,,,,,2.0,2.0,18.0,,2026-08-01,2.0,,2025-03-01,1.0,,1.0,,2.0,0.5,2.0,4.0
140.0,REUMETAMEX FORTE (NAPROXENO 86 MG),4.0,,,,,,,,,,,,4.0,4.0,20.0,RABI,2026-10-01,1.0,,2025-02-01,,1.0,2.0,1.0,4.0,1.0,4.0,8.0
141.0,SAL ANDREWS DISP X 50 SOBRES,31.0,,,,,,2.0,,,,,,29.0,17.0,2.0,,2027-06-01,2.0,,2025-03-01,2.0,6.0,3.0,12.0,23.0,5.75,23.0,46.0
142.0,SAL DE UVAS PICOT CAJA X 50,45.0,,,,,,,,,,,,45.0,1.0,2.0,,2025-06-01,1.0,,2025-03-01,2.0,10.0,1.0,10.0,23.0,5.75,23.0,46.0
143.0,SALBUTAMOL 100MCG X DOSIS SPRAY PROMEGAL ,5.0,,,,,,,,,,,,5.0,7.0,25.0,,2025-09-01,0.0,,2025-01-01,3.0,1.0,1.0,1.0,6.0,1.5,6.0,12.0
144.0,SALUPRIM TAB CAJA X 50 BLIST X 5 (TRIMETROPRIM),10.0,,,,,,,,,,,,10.0,4.0,8.0,,2026-07-01,0.0,,2024-08-01,3.0,1.0,2.0,1.0,7.0,1.75,7.0,14.0
145.0,SANA SANA POMADA LATITA DE PLASTICO,6.0,,,,,,,,,,,,6.0,52.0,8.0,,2028-12-01,22.0,,2025-03-01,1.0,1.0,20.0,7.0,29.0,7.25,29.0,58.0
146.0,SANIRENAL CAJA X 100 BLIST X 10,94.0,,10.0,,,,,,,,,,84.0,36.0,1.0,,2026-11-01,1.0,,2025-04-01,20.0,10.0,10.0,20.0,60.0,15.0,60.0,120.0
147.0,SERAFON GUAYACOL+EUCALI) X 1000,580.0,,,,,,,,,,,,580.0,-350.0,0.25,FORASA,2026-07-01,0.0,,2025-01-01,16.0,16.0,23.0,60.0,115.0,28.75,115.0,230.0
148.0,SERTAL COMPUESTO BLIS X 10 CAJA X 200,193.0,,8.0,1.0,2.0,1.0,1.0,,,10.0,,,170.0,180.0,3.3,,2026-11-01,20.0,,2025-04-01,20.0,74.0,24.0,57.0,175.0,43.75,175.0,350.0
149.0,SERTAL COMPUESTO X 3 DOSIS,4.0,,,,,,,,,,,,4.0,8.0,20.0,,2026-12-01,0.0,,2025-04-01,1.0,1.0,3.0,1.0,6.0,1.5,6.0,12.0
150.0,SHAMPOO MEDICASP 130.ML,1.0,,,,,,,,,,,,1.0,7.0,70.0,,2026-03-01,3.0,,2024-06-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
151.0,SIXTYNINE (SILDEN X 100 MGS) CAJA X 30 SOB Y CART X 4,20.0,2.0,,,,,2.0,,,,,,16.0,18.0,10.0,,2025-10-01,0.0,,2024-10-01,2.0,1.0,8.0,6.0,17.0,4.25,17.0,34.0
152.0,SUCRADEL CAJA X 30 SOBRES,39.0,,,,,,,,,,,,39.0,-9.0,5.0,,2029-06-01,0.0,,2025-04-01,4.0,7.0,2.0,2.0,15.0,3.75,15.0,30.0
153.0,SUCRASSYL CAJA X 30 PAHIL,29.0,,,,,,,,,2.0,,,27.0,17.0,5.0,COIDE,2028-04-01,0.0,,2025-02-01,12.0,4.0,1.0,5.0,22.0,5.5,22.0,44.0
