No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 28 ABRIL,SEM 5 MAYO,SEM 12 MAYO, SEM 21 ABRIL,TOTAL,PROMEDIO,1 MES,2 MESES
1.0,ACETAMINOFEN MK GOTAS FCO 30 ML,4.0,,,,,,,,,,,,4.0,-2.0,31.0,,2027-12-01,8.0,,2024-01-01,,,1.0,,1.0,0.25,1.0,2.0
2.0,ACETAMINOFEN MK JBE NIÑOS 120 MG X 60 ML ,2.0,,,,,,,,,,,,2.0,6.0,32.0,,2028-12-01,2.0,,2025-04-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
3.0,ALGODÓN ROLLO LIBRA,1.0,,,,,,,,,,,,1.0,3.0,45.0,,2027-07-01,1.0,,2024-05-01,,,1.0,1.0,2.0,0.5,2.0,4.0
4.0,ALKA  AD CAJA X 72,41.0,,3.0,,,,,,,,,,38.0,0.0,2.0,,2027-12-01,1.0,,2025-02-01,2.0,7.0,2.0,8.0,19.0,4.75,19.0,38.0
5.0,ANADENT CAJA  X 100 BLIST X 4,99.0,,,,,,,,,,,,99.0,-63.0,2.25,,2028-01-01,0.0,,2024-10-01,1.0,3.0,12.0,2.0,18.0,4.5,18.0,36.0
6.0,ARTRI AJO KING  X 100 TAB,1.0,,,,,,,,,,,,1.0,9.0,85.0,,2028-11-01,4.0,,2025-01-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
7.0,ARTRI KING CAJA X 100 TABS,1.0,,,,,,,,,,,,1.0,9.0,85.0,,2028-12-01,2.0,,2025-04-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
8.0,ARTRIBION FORTE FCO X 100 TABS,1.0,,,,,,,,,,,,1.0,5.0,40.0,,2027-12-01,2.0,,2025-04-01,1.0,2.0,,,3.0,0.75,3.0,6.0
9.0,ARTRIBION VITAMINADO BLIST X 4 CAJA X 20 SOBRES,22.0,,,2.0,,,,,,1.0,,,19.0,-3.0,5.0,,2027-06-01,0.0,,2025-04-01,1.0,3.0,2.0,2.0,8.0,2.0,8.0,16.0
10.0,AXTAR CEFTRIAXONA 1G ,3.0,,,,,,,,,,,,3.0,-3.0,60.0,,2026-09-01,3.0,,2025-04-01,,,,,0.0,0.0,0.0,0.0
11.0,BARMICIL  TUBO 40 GRS,6.0,,,,,,4.0,,,,,,2.0,8.0,26.0,,2025-11-01,1.0,,2025-04-01,1.0,1.0,2.0,1.0,5.0,1.25,5.0,10.0
12.0,BETA 2 PAN KIT AMPOLLA,5.0,,,,,,,,,,,,5.0,5.0,63.0,,2029-06-01,4.0,,2025-01-01,1.0,1.0,1.0,2.0,5.0,1.25,5.0,10.0
13.0,BISMUTO X 100 U,96.0,4.0,10.0,,8.0,,6.0,,,,,,68.0,28.0,0.75,,2027-11-01,0.0,,2025-04-01,6.0,10.0,18.0,14.0,48.0,12.0,48.0,96.0
14.0,BROMHEXINA 120 ML JBE SELEC (EXIFLEM),6.0,,,,,,,,,,,,6.0,6.0,12.0,,2026-09-01,7.0,,2025-03-01,1.0,1.0,3.0,1.0,6.0,1.5,6.0,12.0
15.0,BRONCUROL JBE 120 ML,3.0,,,,,,,,,,,,3.0,11.0,30.0,RABI,2027-01-01,4.0,,2025-03-01,2.0,1.0,1.0,3.0,7.0,1.75,7.0,14.0
16.0,BUSCAPINA COMPUESTA BLISTER X 12 CAJA X 24,33.0,,,2.0,,,2.0,,,,,,29.0,9.0,2.5,,2028-12-01,1.0,,2025-04-01,1.0,4.0,2.0,12.0,19.0,4.75,19.0,38.0
17.0,BUTAZOLIDINA BLIS X 10 CAJA X 100 SANDOZ,9.0,,,,,,,,,,,,9.0,-1.0,10.0,,2027-12-01,1.0,,2025-01-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
18.0,CALCIO + MAGNESIO VESA FCO X 100 GELCAPS,1.0,,,,1.0,,,,,,,,0.0,4.0,68.0,,2027-03-01,1.0,,2024-12-01,,,1.0,1.0,2.0,0.5,2.0,4.0
19.0,CANESTEN EXTRA ,2.0,,,,,,,,,,,,2.0,6.0,45.0,RABI,2029-05-01,3.0,,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
20.0,CARDIOASPIRINA 81 MG X 30 TAB FCO,4.0,,,,,,,,,,,,4.0,8.0,65.0,,2026-12-01,3.0,,2025-03-01,3.0,1.0,1.0,1.0,6.0,1.5,6.0,12.0
21.0,CEFTRIAXONA 1GR+LIDOC KIT PROMEGAL,4.0,,,,,,,,,,,,4.0,18.0,20.0,,2026-02-01,10.0,,2025-01-01,2.0,4.0,4.0,1.0,11.0,2.75,11.0,22.0
