No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 28 ABRIL,SEM 5 MAYO,SEM 12 MAYO, SEM 21 ABRIL,TOTAL,  ,1 MES,2 MESES
160,VICK INHALADOR,6.0,,,,,,,,,,,,6.0,8.0,27.0,COIDE,2027-09-01 00:00:00,5.0,,2025-03-01,1.0,2.0,2.0,2.0,7.0,1.75,7.0,14.0
161,VICK TARRO 100 GRS,1.0,,,,,,,,,,,,1.0,5.0,68.0,,2026-09-01 00:00:00,0.0,,2025-01-01,1.0,1.0,,1.0,3.0,0.75,3.0,6.0
162,VICK TARRO 50 GRS,2.0,,1.0,,,,,,,,,,1.0,11.0,38.0,,2026-10-01 00:00:00,3.0,,2025-04-01,2.0,1.0,1.0,2.0,6.0,1.5,6.0,12.0
163,VIRO GRIP GRIPE Y TOS JBE 120 ML,5.0,,1.0,,,,,,,,,,4.0,8.0,35.0,,2027-12-01 00:00:00,10.0,,2025-03-01,1.0,2.0,1.0,2.0,6.0,1.5,6.0,12.0
164,VITAFLENACO GEL TOPICA 20 G,1.0,,,,,,,,,,,,1.0,3.0,38.0,,2026-07-01 00:00:00,0.0,,2024-11-01,1.0,,,1.0,2.0,0.5,2.0,4.0
165,VITAL FUERTE 10 AMP BEB 10 ML,0.0,,,,,,,,,,,,0.0,0.0,5.8,BENDICION,,0.0,,,,,,,0.0,0.0,0.0,0.0
166,"VITANERVO 25,000 KIT AMP PIERSAN ",3.0,,,,,,,,,,,,3.0,13.0,19.0,,2026-07-01 00:00:00,2.0,,2024-11-01,4.0,1.0,2.0,1.0,8.0,2.0,8.0,16.0
167,VITAPYRENA DISP X50,17.0,,,,,,,,,,,,17.0,-5.0,3.5,,2026-01-01 00:00:00,0.0,,2024-08-01,2.0,1.0,2.0,1.0,6.0,1.5,6.0,12.0
168,VITAPYRENA FORTE DISP X50,28.0,,,,,,,,,,,,28.0,-10.0,6.0,,2025-12-01 00:00:00,0.0,,2024-07-01,6.0,1.0,1.0,1.0,9.0,2.25,9.0,18.0
169,XICONEURAL CAJA X 30 INDUCTOR DEL SUEÑO,20.0,,,,,,,,,,,,20.0,12.0,2.5,,2026-09-01 00:00:00,0.0,,2025-01-01,4.0,4.0,4.0,4.0,16.0,4.0,16.0,32.0
170,XIRMEN 4 MG /2 ML X 1 AMP INYECT ,1.0,,,,,,,,,,,,1.0,7.0,48.0,,2028-08-01 00:00:00,2.0,,2025-04-01,,1.0,2.0,1.0,4.0,1.0,4.0,8.0
171,ZORRITONE CARAMELO JENGIBRE POWER X 100,14.0,,,,,,,,,,,,14.0,8.0,0.75,,2026-07-01 00:00:00,0.0,,2024-02-01,4.0,2.0,3.0,2.0,11.0,2.75,11.0,22.0
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
