No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 28 ABRIL,SEM 5 MAYO,SEM 12 MAYO, SEM 21 ABRIL,TOTAL,  ,1 MES,2 MESES
49,CALMANTE SOBRE BOLSA X 100 ,20.0,,,,,,,,,,,,20.0,84.0,0.25,,2027-10-01 00:00:00,1.0,,2025-04-01,4.0,20.0,24.0,4.0,52.0,13.0,52.0,104.0
50,CANESTEN 100 MG X 18 OVULOS VAG,7.0,,,,,,,,,,,,7.0,13.0,20.0,BAYER,2026-10-01 00:00:00,1.0,,2024-09-01,3.0,4.0,2.0,1.0,10.0,2.5,10.0,20.0
51,CANESTEN ORAL 150 MG X 1 CAP,0.0,,,,,,,,,,,,0.0,0.0,114.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0
52,CANESTEN TRIPLE ACCION 15 GRS,1.0,,,,,,,,,,,,1.0,7.0,77.0,BAYER,2027-05-01 00:00:00,2.0,,2025-02-01,,1.0,1.0,2.0,4.0,1.0,4.0,8.0
53,CARDIOASPIRINA CAJA X 48 TAB ,66.0,,,,,,2.0,,,,,,64.0,10.0,3.0,BAYER,2026-05-01 00:00:00,2.0,,2025-03-01,7.0,5.0,17.0,8.0,37.0,9.25,37.0,74.0
54,CEREBREX GINKO AMP BEBIBLES X 10 ,16.0,,,,,,,,,,,,16.0,52.0,8.5,,2027-02-01 00:00:00,2.0,,2025-03-01,10.0,10.0,10.0,4.0,34.0,8.5,34.0,68.0
55,CIRBRAL 25 MG BLIST X 20 CAJA X 60,144.0,,,,,,,,,20.0,,,124.0,46.0,0.9,,2027-03-01 00:00:00,1.0,,2024-12-01,45.0,20.0,5.0,15.0,85.0,21.25,85.0,170.0
56,CIRBRAL FORTE 75 MG BLIST X 10 CAJA X 30 ,40.0,,,,2.0,,3.0,,,,,,35.0,33.0,2.8,,2027-09-01 00:00:00,0.0,,2025-04-01,22.0,6.0,3.0,3.0,34.0,8.5,34.0,68.0
57,CITRATO DE MAGNESIA BOLSA X 16 SOBRES ,7.0,,,,,,,,,,,,7.0,35.0,2.5,,2027-02-01 00:00:00,32.0,,2025-04-01,3.0,1.0,7.0,10.0,21.0,5.25,21.0,42.0
58,CLO-PRIM 0.1MG/GOTAS 15 ML,2.0,,,,,,,,,,,,2.0,8.0,55.0,,2028-01-01 00:00:00,0.0,,2025-02-01,1.0,1.0,2.0,1.0,5.0,1.25,5.0,10.0
