No,ARTICULO  ESTUARDO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
111,,,,,,5931.107999999999,10495.385
112,,,,,,,4564.277000000001
113,,,,,,,
114,,,,,,,0.4348841895747513
115,,,,,,,
116,,,,,,,
117,,,,,,,
118,,,,,,,
119,,,,,,,
120,,,,,,,
121,,,,,,,
122,,,,,,,
123,,,,,,,
124,,,,,,,
125,,,,,,,
126,,,,,,,
127,,,,,,,
128,,,,,,,
129,,,,,,,
130,,,,,,,
131,,,,,,,
131,,,,,,,
132,,,,,,,
132,,,,,,,
