No,ARTICULO,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 28 ABRIL,SEM 5 MAYO,SEM 12 MAYO, SEM 21 ABRIL,TOTAL,PROMEDIO,1 MES,2 MESES
107.0,LEVOCETIRIZINA 5 MG  CAJA X 10 TAB ,36.0,10.0,,,,,,,,,,,26,104,1.5,,2025-10-01,0.0,,2025-04-01,10.0,30.0,2.0,23.0,65,16.25,65,130
108.0,LEVOGASTRIC CAJA X 30 BLISTER X 5 ,6.0,,,,,,,,,,,,6,26,13.0,,2026-03-01,1.0,,2025-03-01,2.0,6.0,6.0,2.0,16,4.0,16,32
109.0,LORATADINA 10MG  BLISTX 10 TABS CAPLIN CAJA X 100,9.0,,,,,,,,,,,,9,9,5.0,,2027-03-01,0.0,,2025-02-01,1.0,1.0,3.0,4.0,9,2.25,9,18
110.0,LORATADINA 10MG X BLIS X 20 CAJA X 100 SELEC,13.0,,,,,,1.0,,,,,,12,18,8.0,,2028-08-01,6.0,,2025-04-01,3.0,3.0,6.0,3.0,15,3.75,15,30
111.0,LORATADINA 5 MG JBE SELEC ,4.0,,,,,,,,,,,,4,6,17.0,,2027-06-01,0.0,,2025-04-01,2.0,1.0,1.0,1.0,5,1.25,5,10
112.0,LUBRICANTE VIVE 120 ML NATURAL,1.0,,,,,,,,,,,,1,5,40.0,,2028-02-01,1.0,,2025-03-01,1.0,,1.0,1.0,3,0.75,3,6
113.0,LUBRICANTE VIVE 120 ML S. FRESA,1.0,,,,,,,,,,,,1,1,40.0,,2025-11-01,0.0,,2024-05-01,,,1.0,,1,0.25,1,2
114.0,MAGNESIO LIVE VIT C CAJA X 18 SOBRES ,19.0,,,,,,,,,,,,19,-7,15.0,,2027-03-01,0.0,,2025-02-01,3.0,1.0,1.0,1.0,6,1.5,6,12
115.0,METFORMINA 1 GM BLIST X 10 CAJA X 100 CAPLIN,16.0,,,,,1.0,,,,2.0,,,13,13,10.0,,2026-04-01,0.0,,2025-04-01,5.0,1.0,1.0,6.0,13,3.25,13,26
116.0,METFORMINA 1G BLIST X10 TAB CAJA X 100 INFASA,12.0,,,,,,1.0,,,,,,11,15,12.0,,2027-10-01,2.0,,2025-04-01,5.0,2.0,3.0,3.0,13,3.25,13,26
117.0,METFORMINA 850 MG BLIST X 10 CAJA X 100 CAPLIN,5.0,,,,,,,,,,,,5,7,6.0,,2025-11-01,0.0,,2024-12-01,2.0,1.0,2.0,1.0,6,1.5,6,12
118.0,METFORMINA 850 MG BLIST X 10 TAB INFASA,12.0,,,,,,,,,2.0,,,10,12,7.0,,2027-08-01,1.0,,2025-04-01,3.0,3.0,3.0,2.0,11,2.75,11,22
