No,ARTICULO   ,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 28 ABRIL,SEM 5 MAYO,SEM 12 MAYO, SEM 21 ABRIL,TOTAL,PROMEDIO,1 MES,2 MESES
61.0,ROYALINE 5MG CAJA  X 30 TAB BLIST X 10,37.0,,,,,,,,,,,,37.0,-10.0,3.3,,2027-01-01,0.0,,2024-11-01,1.0,11.0,1.0,0.5,13.5,3.375,13.5,27.0
62.0,SALBUTAMOL INHALADOR CAPLIN,5.0,,,,,,,,,,,,5.0,7.0,33.0,,2027-01-01,4.0,,2025-01-01,1.0,3.0,1.0,1.0,6.0,1.5,6.0,12.0
63.0,SANTEMICINA 7.5 GRS SOBRE CAJA X 50,57.0,,12.0,,4.0,,2.0,,,3.0,,,36.0,1.0,2.0,,2026-08-01,1.0,1.0,2025-05-01,15.0,9.0,8.0,6.0,38.0,9.5,38.0,76.0
64.0,SARPIOL FCO 30 ML,2.0,,,,,,,,,,,,2.0,8.0,25.0,,2026-08-01,2.0,,2025-01-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
65.0,SELLO DE HEPARINA ESTERIL OPERSON,8.0,,,,,,,,,,,,8.0,6.0,5.0,,2028-08-01,0.0,,2024-12-01,1.0,3.0,2.0,1.0,7.0,1.75,7.0,14.0
66.0,SENOSIAIN ADULTO SUPOSITORIO CAJA X 20,22.0,,,,,,,,,,,,22.0,-2.0,3.5,,2026-05-01,0.0,,2025-03-01,3.0,3.0,2.0,2.0,10.0,2.5,10.0,20.0
67.0,SENOSIAIN NIÑO SUPOSITORIO CAJA X 20,21.0,,,,,,,,,,,,21.0,1.0,3.5,,2027-01-01,0.0,,2024-11-01,3.0,2.0,4.0,2.0,11.0,2.75,11.0,22.0
68.0,SOLUCION SALINA 100 ML BOLSA,6.0,,,,,,,,,,,,6.0,34.0,14.0,,2027-10-01,22.0,,2025-03-01,4.0,10.0,3.0,3.0,20.0,5.0,20.0,40.0
69.0,SPASMO-UROLONG BLIST X 10TAB,30.0,,4.0,,,,,,,,,,26.0,2.0,6.8,,2027-02-01,0.0,2.0,2025-05-01,3.0,3.0,3.0,11.0,20.0,5.0,20.0,40.0
70.0,SUERO ORAL ANCALMO COCO X 54,34.0,,,,,,,,,,,,34.0,2.0,2.0,,2025-10-01,1.0,,2025-04-01,13.0,1.0,2.0,2.0,18.0,4.5,18.0,36.0
71.0,SUERO ORAL ANCALMO NARANJA X 54,24.0,1.0,,,3.0,,,,,,,,20.0,1.0,2.0,OLAM ,2025-07-01,0.0,,2024-07-01,51.0,1.0,2.0,7.0,61.0,15.25,61.0,122.0
72.0,SUERO ORAL VIT ANCALMO X 54,48.0,,,,,,,,,,,,48.0,-22.0,2.0,OLAM ,2028-01-01,0.0,,2025-04-01,1.0,6.0,3.0,3.0,13.0,3.25,13.0,26.0
73.0,TERMOMETRO DIGITAL MICROLIFE,0.0,,,,,,,,,,,,0.0,0.0,55.0,,,,,,,,,,,,,
74.0,VIROGRIP 3 DOBLE TERAPIA INYECTADO,4.0,,,,,,,,,,,,4.0,4.0,29.0,,2026-10-01,7.0,,2024-12-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
