No,ARTICULO   ,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 28 ABRIL,SEM 5 MAYO,SEM 12 MAYO, SEM 21 ABRIL,TOTAL,PROMEDIO,1 MES,2 MESES
82.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
83.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
84.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
85.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
86.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
87.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
88.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.0, h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
