No,ARTICULO,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 28 ABRIL,SEM 5 MAYO,SEM 12 MAYO, SEM 21 ABRIL,TOTAL,PROMEDIO,1 MES,2 MESES
28.0,PASTA COLGATE TOTAL 12   150 ML,2.0,,,,,,,,,,,,2.0,2.0,29.0,,,6.0,,2024-09-01,1.0,1.0,,,2.0,0.5,2.0,4.0
29.0,PRELONE 20 MGS CAJA X 10 ,0.0,,,,,,,,,,,,0.0,2.0,0.0,HOSPIGEN  ,,0.0,,,,1.0,,,1.0,0.25,1.0,2.0
30.0,REUMETAN CREMA 30 GRS. TUBO ,0.0,,,,,,,,,,,,0.0,0.0,35.0,COIDE,,0.0,,,,,,,0.0,0.0,0.0,0.0
31.0,S.C.I.40 MG  BLISTER X 5 CAJA X 20,0.0,,,,,,,,,,,,0.0,0.0,6.0,COIDE,,0.0,,,,,,,0.0,0.0,0.0,0.0
32.0,S.S.N. GOTAS,1.0,,,,,,,,,,,,1.0,7.0,35.0,COIDE,2026-07-01,1.0,,2025-04-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
33.0,S.S.N. SPRAY NASAL 50 ML,1.0,,,,,,,,,,,,1.0,9.0,69.0,COIDE,2026-12-01,,,2025-01-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
34.0,SKITTLES,1.0,,,,,,,,,,,,1.0,9.0,11.0,,,0.0,,2024-04-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0
35.0,SUKROL VIGOR MUJER X 30 TABS,0.0,,,,,,,,,,,,0.0,6.0,65.0,COIDE,2027-07-01,,,2024-12-01,,1.0,1.0,1.0,3.0,0.75,3.0,6.0
36.0,TOALLA HUMEDA FAMILY CHOICE,0.0,,,,,,,,,,,,0.0,0.0,13.0,,,,,,,,,,0.0,0.0,0.0,0.0
37.0,TOALLA HUMEDA POM POM X 80,3.0,,,,,,,,,,,,3.0,5.0,11.0,ESQUINITA,,12.0,,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
38.0,VICK INHALADOR,0.0,,,,,,,,,,,,0.0,0.0,0.0,COIDE,,,,,,,,,0.0,0.0,0.0,0.0
39.0,VITAFLENACO 25 MG CAJA X 30 BLISTER X 15,101.0,,6.0,,2.0,,2.0,,,,,,91.0,33.0,1.5,COIDE,2026-07-01,12.0,,2025-02-01,8.0,28.0,8.0,18.0,62.0,15.5,62.0,124.0
40.0,VITAL FUERTE H3 X 30,1.0,,,,,,,,,,,,1.0,7.0,59.0,COIDE,2027-03-01,,,2024-09-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
41.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
