No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
59,CLO-PRIM 10MG BLIST X 10 CAJA X 40 TABS,20.0,1.78,3.0,0.4066666666666667,35.6,60.0
60,CLOPRIM 5MG/5ML JARABE 120 ML,1.0,50.1,77.0,0.34935064935064936,50.1,77.0
61,CLOPRIM CAJA X 3 AMPOLLAS,3.0,11.37,19.0,0.4015789473684211,34.11,57.0
62,CODERPINA JBE 60 ML,1.0,26.03,41.0,0.3651219512195122,26.03,41.0
63,CUAJO CAJA X 100 BLISTER X 10,62.0,1.03,1.8,0.42777777777777776,63.86,111.60000000000001
64,CURADERMA LATITA,4.0,11.96,18.0,0.3355555555555555,47.84,72.0
65,CURITA REDONDA  CUREBAND CAJA X 100,22.0,0.11,0.25,0.56,2.42,5.5
66,CURITAS CUREBAND CAJA X 100 + 10,200.0,0.1,0.25,0.6,20.0,50.0
67,DAPAZ (AMITRIP + CLORDIA)  CAJA X 30 BLIST X 10,28.0,1.66,2.7,0.38518518518518524,46.48,75.60000000000001
68,DEXAMICINA GOTASX 5 ML QUALIPHARM,1.0,45.5,69.0,0.34057971014492755,45.5,69.0
69,DEXTROVITA AL 10% 1/2 LITRO,0.0,26.09,40.0,0.34775,0.0,0.0
70,DEXTROVITA AL 5% 1 LITRO ,1.0,37.86,63.0,0.39904761904761904,37.86,63.0
71,DEXTROVITA AL 5% 1/2 LITRO,0.0,27.28,42.0,0.35047619047619044,0.0,0.0
72,DIYODO 650 CAJA X 100 BLIST X 10 TAB,133.0,0.61,1.0,0.39,81.13,133.0
73,DOLOFIN DISP X 60,0.0,0.0,0.0,,0.0,0.0
74,DOLOVITANERVO KIT AMPOLLA,3.0,9.55,19.0,0.4973684210526315,28.650000000000002,57.0
75,DORIVAL GEL 200MG CAJA X 36 GELCAPS,41.0,2.61,4.0,0.34750000000000003,107.00999999999999,164.0
76,ENTEROGUANIL ADULTO DIS X 200 BLIST X 4 TABS ,172.0,0.31,1.0,0.69,53.32,172.0
77,ENTEROGUANIL NIÑO DIS X 200 BLIST X 4 TABS ,0.0,0.21,0.5,0.5800000000000001,0.0,0.0
78,ESCABIN JABON DE AZUFRE 80 GRS SANTE,2.0,5.15,9.0,0.42777777777777776,10.3,18.0
79,ESENCIA MARAVILLOSA SIERRA FCO,3.0,11.0,18.0,0.3888888888888889,33.0,54.0
80,FERRIDOCE CAJA X 30TAB BLIST X 10,6.0,9.3,14.0,0.3357142857142857,55.800000000000004,84.0
81,GASA ENFERMERITA  1/2 X 1 YD.,3.0,4.01,7.0,0.42714285714285716,12.03,21.0
82,GASA ENFERMERITA 3 X 1,2.0,17.5,29.0,0.39655172413793105,35.0,58.0
83,GASA SUPERIOR  3 X 10 YD,2.0,7.0,12.0,0.4166666666666667,14.0,24.0
84,GASA SUPERIOR  4 X 10,2.0,8.0,13.0,0.38461538461538464,16.0,26.0
