No,ARTICULO   BENDICION,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
58,DOLOVITANERVO PIERSAN  BLIST X 10  CAJA X  150,122.0,0.6,1.2,0.5,73.2,146.4
59,DOMINAL CAJA X 100 SOBRES,76.0,0.55,1.0,0.44999999999999996,41.800000000000004,76.0
60,DORIVAL CAJA X 60 GRAGEAS BLIST X 12 TAB,75.0,0.66,2.0,0.6699999999999999,49.5,150.0
61,DULSITOS JBE 120 ML,2.0,16.3,29.0,0.4379310344827586,32.6,58.0
62,ENANTYUM 25 MG CAJA X 10 TABLETAS ,15.0,7.0,12.0,0.4166666666666667,105.0,180.0
63,ENTEROGERMINA AMP 2 BILLONES BEB 5 ML CJ X 20,20.0,10.55,20.0,0.4725,211.0,400.0
64,ESPASMOFIN NF (COLICOS) CAJA X 110 SOBRES,28.0,1.18,2.0,0.41000000000000003,33.04,56.0
65,EXPECTORANTE COMPUESTO LANCASCO 120 ML,3.0,22.3,45.0,0.5044444444444445,66.9,135.0
66,FIBRA GUMMY 3MG VESA FCO X 40 GOMITAS ,1.0,25.3,55.0,0.54,25.3,55.0
67,FLAMYDOL AMPOLLA ,7.0,3.0,7.0,0.5714285714285714,21.0,49.0
68,FLAMYDOL RETARD CAJA X 48 BLIST X 4,56.0,1.87,10.0,0.813,104.72,560.0
69,FLUDISIN (AMBROXOL) JBE 100 ML LEGSA,3.0,20.3,35.0,0.42,60.900000000000006,105.0
70,FLUDISIN COM (AMBR+CLEB) 100 ML LEGSA,3.0,22.0,39.0,0.4358974358974359,66.0,117.0
71,FLUDISIN L (AMB + LORATAD) 100 ML LEGSA,4.0,25.45,39.0,0.3474358974358975,101.8,156.0
72,GASA POR UNIDAD BOLSA X 100,60.0,0.3,0.5,0.4,18.0,30.0
73,GENOGASTRIL  CAJA X 2 FCOS  60 CAPS,1.0,50.0,95.0,0.47368421052631576,50.0,95.0
74,GINCKO + NEURO CAJA X 60 BLIST X 10,0.0,5.833,9.34,0.3754817987152034,0.0,0.0
75,GINSENG ESENCIAL FCO 75 ML,1.0,15.0,26.0,0.4230769230769231,15.0,26.0
76,GLICITOS L (AMBROXOL+LORATADINA)120 ML SELEC,4.0,22.3,37.0,0.3972972972972973,89.2,148.0
77,GRANEODIN FRAMBUESA CAJA X 24 PASTILLAS ,26.0,1.5,3.0,0.5,39.0,78.0
78,GRANEODIN MIEL LIMON CAJA X 24 PASTILLAS ,26.0,1.22,3.0,0.5933333333333334,31.72,78.0
79,HEMOBEX 10 ML HIGADO CRUDO + COMPLEJO B,11.0,5.3,10.0,0.47000000000000003,58.3,110.0
80,HIDRAVIDA COCO,3.0,11.32,19.0,0.40421052631578946,33.96,57.0
81,HIDRAVIDA FRESA,3.0,11.54,19.0,0.39263157894736844,34.62,57.0
82,HIDRAVIDA JAMAICA,4.0,11.58,19.0,0.39052631578947367,46.32,76.0
83,HIDRAVIDA LIMA LIMON,4.0,11.58,19.0,0.39052631578947367,46.32,76.0
84,HIDRAVIDA MARACUYA,3.0,11.58,19.0,0.39052631578947367,34.74,57.0
85,HIDRAVIDA MORA -AZUL ,4.0,11.44,19.0,0.3978947368421053,45.76,76.0
86,HIDRAVIDA NARANJA-MANDARINA,3.0,11.58,19.0,0.39052631578947367,34.74,57.0
87,HIDRAVIDA UVA,5.0,11.36,19.0,0.40210526315789474,56.8,95.0
88,HIGAVYT 5 10 ML EXTRTACTO DE HIGADO,11.0,5.3,10.0,0.47000000000000003,58.3,110.0
89,IBUPROFENO FORTE 800 MGS CAJA X 100 BLIST X 10,54.0,0.74,2.0,0.63,39.96,108.0
90,LANSOPRAZOL 30 MG BLIST X 10 CAJA X 50   INFASA,5.0,11.4,19.0,0.39999999999999997,57.0,95.0
91,LECHE DE MAGNESIA PHILIPS 60 ML,3.0,12.3,23.0,0.4652173913043478,36.900000000000006,69.0
92,LEVONORGESTREL DISPENSADOR X 11 TAB,7.0,21.0,90.0,0.7666666666666667,147.0,630.0
93,LIMPIA COLON FCO X 100 TABS,1.0,20.3,40.0,0.4925,20.3,40.0
94,LOFENAK (DICLO SOD 100 MGS) CAJA X 50 B BLIST X 10,11.0,3.8,7.0,0.4571428571428572,41.8,77.0
95,LOMBRINIÑOS CAJA X 40 SOBRES ,14.0,1.0,1.75,0.42857142857142855,14.0,24.5
96,LORATADINA 10MG GEL CAPS CAJA X 100 BLIST X 10,0.0,6.5,11.0,0.4090909090909091,0.0,0.0
97,MAGNESIA SANTE  120 ML FCO,0.0,8.3,15.0,0.4466666666666666,0.0,0.0
98,MARIGUANOL BOTE,1.0,5.3,10.0,0.47000000000000003,5.3,10.0
99,MELATONINA 5MGS FCO X 100 BOLSA X 10 VESA,12.0,3.8,13.0,0.7076923076923076,45.599999999999994,156.0
100,MENOESTROGEN FRASCO X 30 TAB,1.0,26.0,50.0,0.48,26.0,50.0
101,MENTOL DAVIS MUESTRA,6.0,1.66,3.5,0.5257142857142857,9.959999999999999,21.0
102,MIGRADORIXINA BLIST X 10 CAJA X 100,122.0,0.8,4.7,0.8297872340425533,97.60000000000001,573.4
103,NAUSEOL BLISTER X 10 TAB BONIN CAJA X 500,143.0,0.2,0.9,0.7777777777777777,28.6,128.70000000000002
104,NEOBOL CREMA 30 GRS,1.0,40.0,77.0,0.4805194805194805,40.0,77.0
105,NEOBOL SPRAY 30 ML,2.0,45.3,77.0,0.4116883116883117,90.6,154.0
106,NEOMELUBRINA AMPOLLA 2 ML,19.0,2.5,8.0,0.6875,47.5,152.0
107,NEOMELUBRINA CAJA X 100 BLIST X 4,134.0,0.25,1.25,0.8,33.5,167.5
108,NERVESSA PASTILLAS DISP  50,31.0,2.1,3.5,0.39999999999999997,65.10000000000001,108.5
109,NERVOTIAMIN D SOBRE X 4 TAB CAJA X 100  ANCALMO,166.0,0.95,1.75,0.4571428571428572,157.7,290.5
110,NEUMONIL AMPOLLA 1 ML,13.0,4.0,10.0,0.6,52.0,130.0
111,NEURO NERVIOL CAJA X 10 AMPOLLAS,1.0,30.0,55.0,0.45454545454545453,30.0,55.0
112,NEUROBION  CAJA X 120 TAB BLIST X 5,184.0,1.25,4.0,0.6875,230.0,736.0
113,"NEUROBION 25,000 1 DOSIS CAMARA",2.0,45.3,77.0,0.4116883116883117,90.6,154.0
114,"NEUROBION 25,000 KIT INYECTADO  1 AMP",8.0,9.3,34.0,0.7264705882352941,74.4,272.0
115,NEXT BLIST X 10 CAJA X 20,61.0,1.1,2.3,0.5217391304347825,67.10000000000001,140.29999999999998
116,NIKSON CAJA X 90 BLIST X 10,141.0,1.39,2.7,0.4851851851851853,195.98999999999998,380.70000000000005
117,NORMA CYCLE 28 FACO 240 ML (REGULADOR),1.0,9.0,25.0,0.64,9.0,25.0
118,OJO DE AGUILA CON VITA A 40 ML,2.0,12.0,19.0,0.3684210526315789,24.0,38.0
119,OMEGA 3 1000 MG caja x 30 BLIST. X 10 FORALSALUD,3.0,8.937,16.0,0.44143750000000004,26.811,48.0
120,OMEGA 3 6 9 1200 MG VESA FCO X 100 GELCAPS,1.0,38.3,68.0,0.436764705882353,38.3,68.0
121,OVARICION JARABE 240 ML,1.0,10.0,20.0,0.5,10.0,20.0
122,OVARICON CAJA X 30 TAB BLISTER X 10,1.0,25.0,50.0,0.5,25.0,50.0
123,PANADOL EXTRAFUERTE X 50 SOBRE,44.0,0.8,2.0,0.6,35.2,88.0
124,PANADOL MULTISINTOMAS X 24 SOBRES,36.0,1.87,3.0,0.37666666666666665,67.32000000000001,108.0
125,PANADOL SINUS X 26 SOBRES,13.0,1.7,3.0,0.43333333333333335,22.099999999999998,39.0
126,PANADOL ULTRA X 52 SOBRES,59.0,1.33,2.5,0.46799999999999997,78.47,147.5
127,PARACETAMOL 750 MG  ECOMED CAJA X 60 TAB  BLIST X5,6.0,4.09,12.0,0.6591666666666667,24.54,72.0
128,PEPTO BISMOL 118 ML (4 ONZ),4.0,28.0,43.0,0.3488372093023256,112.0,172.0
129,PEPTOBISMOL TIRA  X 24 TAB,22.0,0.96,2.0,0.52,21.119999999999997,44.0
130,PILDORA DE WITT BLIST X 20 CAJA X 100,17.0,0.25,0.65,0.6153846153846154,4.25,11.05
131,PIOFIN FCO 60 ML,2.0,5.0,10.0,0.5,10.0,20.0
132,POMADA DE LA CAMPANA 19 GRS,8.0,5.98,13.0,0.5399999999999999,47.84,104.0
133,POMADA DE LA CAMPANA 35 GRS,3.0,7.6,22.0,0.6545454545454545,22.799999999999997,66.0
134,PROMETEST PRUEBA DE EMBARAZO,6.0,4.5,15.0,0.7,27.0,90.0
135,PULMO GRIP JBE 120 ML,2.0,13.5,25.0,0.46,27.0,50.0
136,PULMO GRIP KIT ,2.0,9.0,19.0,0.5263157894736842,18.0,38.0
137,PULMOGRIP JBE 240 ML,2.0,10.0,35.0,0.7142857142857143,20.0,70.0
138,QG5 DUO CAJA X 2 FCOS ,2.0,12.5,45.0,0.7222222222222222,25.0,90.0
139,RABANO YODADO 240 ML DRAGON,2.0,10.3,18.0,0.42777777777777776,20.6,36.0
140,REUMETAMEX FORTE (NAPROXENO 86 MG),4.0,9.5,20.0,0.525,38.0,80.0
141,SAL ANDREWS DISP X 50 SOBRES,31.0,0.8,2.0,0.6,24.8,62.0
142,SAL DE UVAS PICOT CAJA X 50,45.0,0.96,2.0,0.52,43.199999999999996,90.0
143,SALBUTAMOL 100MCG X DOSIS SPRAY PROMEGAL ,5.0,11.86,25.0,0.5256000000000001,59.3,125.0
144,SALUPRIM TAB CAJA X 50 BLIST X 5 (TRIMETROPRIM),10.0,4.5,8.0,0.4375,45.0,80.0
145,SANA SANA POMADA LATITA DE PLASTICO,6.0,3.0,8.0,0.625,18.0,48.0
