No,ARTICULO TIENDA,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 28 ABRIL,SEM 5 MAYO,SEM 12 MAYO, SEM 21 ABRIL,TOTAL,PROMEDIO,1 MES,2 MESES
47,DESODORANTE OLD SPICE 85 GRS,2,,,,,,,,,,,,2,8,38.0,PRICES,,6.0,,2024-12-01,2.0,1.0,1.0,1.0,5,1.25,5,10
48,DESODORANTE SECRET 73 GRS MUJER,2,,,,1.0,,,,,,,,2,8,32.0,PRICES,2025-08-01,1.0,,2024-02-01,1.0,1.0,2.0,1.0,5,1.25,5,10
49,DULCES   MENTA,4,,,,,,,,,,,,4,4,5.0,PRICES,,10.0,,2023-01-01,1.0,1.0,1.0,1.0,4,1.0,4,8
50,DULCES JOLLY RANCHER,3,,,,,,,,,,,,3,7,5.0,PRICES,,13.0,,2023-01-01,1.0,1.0,2.0,1.0,5,1.25,5,10
51,GOMITAS  BOLITAS AZUCAR,1,,,,,,,,,,,,1,11,5.0,SILOE,,0.0,,2024-05-01,1.0,1.0,1.0,3.0,6,1.5,6,12
52,GOMITAS  FRESITAS ,4,,,,,,,,,,,,4,14,5.0,SILOE,,6.0,,2025-01-01,4.0,1.0,1.0,3.0,9,2.25,9,18
53,GOMITAS  HUEVITOS ,3,,,,,,,,,,,,3,9,5.0,SILOE,,16.0,,2024-07-01,1.0,1.0,1.0,3.0,6,1.5,6,12
54,GOMITAS  MANGITOS ,3,,,,,,,,,,,,3,7,5.0,SILOE,,6.0,,2024-07-01,1.0,2.0,1.0,1.0,5,1.25,5,10
55,GOMITAS COCA COLA,4,,,,,,,,,,,,4,10,5.0,SILOE,,11.0,,2025-04-01,3.0,1.0,2.0,1.0,7,1.75,7,14
56,GOMITAS CULEBRITAS ,3,,,,,,,,,,,,3,7,5.0,SILOE,,2.0,,2024-03-01,1.0,2.0,1.0,1.0,5,1.25,5,10
57,GOMITAS DONITAS ,3,,,,,,,,,,,,3,7,5.0,SILOE,,6.0,,2024-03-01,1.0,2.0,1.0,1.0,5,1.25,5,10
58,GOMITAS MORITAS,3,,,,1.0,,,,,,,,2,6,5.0,SILOE,,5.0,,2023-03-01,1.0,1.0,1.0,1.0,4,1.0,4,8
59,GOMITAS OSITOS ,3,,,,,,,,,,,,3,7,5.0,SILOE,,3.0,,2023-03-01,1.0,2.0,1.0,1.0,5,1.25,5,10
